日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2017-08-01,利群(新版)烟丝,001 ,3500.3841,5.0718,3963.0000,16.5421,0.8315,50.8863,0.5099,0.0743,0.5882,60.0986,0.5828,1.6595,1.0000,219.9000,3999.9085,2.7473,4651.0000,16.4047,0.1249,1.5887,1.0000,19.0018,0.2122,1.2537,0.9999,37.6765,0.4008,2.2261,1.0000,80.0097,0.3887,93.0500,56.8992,0.2404,4.2990,100.0000,0.0695,0.0779,21.1013,1.0000,0.0314,124.1000,4099.9310,2.8502,4771.7197,18.6660,0.0538,2.8862,1.0000,72.8634,0.2418,3.2033,0.0085,81.1281,0.3111,3.0772,1.0000,99.9957,0.1685,1.9699,1.0000,12.1940,0.0609,1.6742,1.0000,55.1342,0.2465,0.0000,0.2931,4375.8394,27.0,67.6,23.9,59.8
2017-08-01,利群(新版)烟丝,002 ,3496.9410,28.3502,3958.0000,16.3741,0.7588,51.1554,0.4981,0.0000,0.3775,60.0468,0.3190,3.0863,1.0000,218.3000,3999.9031,2.8113,4643.0000,16.1748,0.1403,1.9610,1.0000,19.0078,0.2264,1.1666,0.9998,37.9159,0.4959,1.9598,1.0000,79.8930,0.8542,92.9000,54.1603,0.4775,2.9041,100.0000,0.0484,0.0686,24.0505,1.0000,0.0492,140.4000,4100.1229,2.6335,4834.1211,18.7172,0.0602,2.6736,1.0000,72.8594,0.2518,3.2044,0.0074,81.3607,0.2477,3.5523,1.0000,99.9939,0.1612,2.0555,1.0000,12.2491,0.0503,1.6626,1.0000,55.7602,0.2471,0.0000,0.0010,4429.7661,27.0,68.3,24.0,60.1
2017-08-01,利群(新版)烟丝,003 ,3500.3297,4.4087,3991.0000,16.3489,0.8861,51.3040,0.4631,0.0000,0.2557,59.9346,0.3526,2.7746,1.0000,219.7000,4000.1388,2.5314,4670.0000,16.1332,0.1258,2.2969,1.0000,18.9461,0.2050,1.3884,1.0000,37.8595,0.3859,2.4699,1.0000,80.0892,0.8599,93.5000,57.1436,0.2060,4.6229,100.0000,0.0498,0.0692,23.8356,1.0000,0.1057,145.1000,4100.1113,3.2418,4935.5986,18.8164,0.0731,1.7484,1.0000,72.8148,0.2203,3.2049,0.0073,81.4060,0.2090,4.1373,1.0000,100.0048,0.1518,2.1851,1.0000,12.2777,0.0563,1.3166,1.0000,56.0515,0.2187,0.0000,0.0000,4516.9194,27.0,68.3,24.1,59.9
2017-08-01,利群(新版)烟丝,004 ,3499.4367,4.9020,3946.0000,16.4339,0.6417,51.3471,0.7496,0.0000,0.3216,60.0044,0.6345,1.5737,1.0000,217.6000,3999.9492,2.8158,4643.0000,16.1729,0.1147,2.4030,1.0000,18.9889,0.1979,1.3662,1.0000,37.9698,0.3585,2.7616,1.0000,79.9576,0.6778,92.8000,54.4902,0.5513,2.7149,100.0000,0.0472,0.0589,28.0196,1.0000,0.0630,140.2000,4099.8508,3.4671,4774.5674,18.7339,0.0558,2.7829,1.0000,73.0020,0.2844,3.2074,0.0055,81.0602,0.2022,4.8464,1.0000,100.0117,0.1570,2.0981,1.0000,12.3043,0.0461,1.4144,1.0000,54.9526,0.4118,0.0384,0.5458,4374.4150,27.0,67.7,24.1,60.0
2017-08-01,利群(新版)烟丝,005 ,3500.4137,10.2041,3966.0000,16.4280,0.7237,51.3868,0.4978,0.0000,0.2186,60.0077,0.3252,3.0674,1.0000,219.6000,3999.9512,2.7489,4671.0000,16.2119,0.1151,2.2833,1.0000,19.0370,0.2029,1.2536,0.9999,37.8830,0.4011,2.3960,1.0000,79.9508,0.8151,93.4500,56.7164,0.1587,6.8980,100.0000,0.0558,0.0660,24.9795,1.0000,0.0236,136.7000,4100.4191,3.0710,4879.4473,18.6729,0.0675,2.3353,1.0000,72.7818,0.2499,3.2042,0.0060,81.3012,0.2402,3.7449,1.0000,100.0015,0.1942,1.7140,1.0000,12.3022,0.0523,1.2601,0.9999,55.5875,0.2429,0.0000,0.0078,4474.5161,27.0,68.6,23.9,59.8
2017-08-01,利群(新版)烟丝,006 ,3500.5218,4.2912,3956.0000,16.3581,0.6994,51.4202,0.4852,0.0000,0.1933,60.0411,0.3070,3.2129,1.0000,218.0000,3999.7481,2.6296,4663.0000,16.1852,0.1182,2.2979,1.0000,18.9432,0.1640,1.7413,1.0000,37.8950,0.3024,3.1914,1.0000,79.9363,0.5952,93.2500,55.9448,0.2644,5.1128,100.0000,0.0547,0.0628,26.2560,1.0000,0.0186,139.4000,4099.7458,2.7487,4838.9912,18.6478,0.0541,2.7591,1.0000,72.7860,0.2901,3.2064,0.0058,80.7604,0.2092,4.3990,1.0000,99.9925,0.1525,2.1696,1.0000,12.2409,0.0638,1.3540,1.0000,55.8373,0.2236,0.0000,0.0001,4432.9092,27.0,68.9,24.0,60.0
2017-08-01,利群(新版)烟丝,007 ,3500.0125,4.4788,3953.0000,16.5015,0.6190,51.4868,0.4765,0.0000,0.1535,60.0101,0.2790,3.5723,1.0000,217.9000,4000.2558,2.6599,4678.0000,16.3615,0.1070,1.9888,1.0000,18.8713,0.1612,1.9203,1.0000,38.0120,0.2977,3.3459,1.0000,79.9088,0.7148,93.6500,55.1999,1.1841,1.3513,100.0000,0.0488,0.0615,26.8347,1.0000,0.0934,136.7000,4100.0000,2.8753,4885.7158,18.6579,0.0677,2.2545,1.0000,72.9794,0.3493,3.2034,0.0087,80.7161,0.3884,2.3312,1.0000,99.9993,0.1700,1.9598,1.0000,12.2518,0.0512,1.6154,1.0000,56.1153,0.2589,0.0000,0.0000,4473.9116,27.0,68.4,24.0,59.8
2017-08-02,利群(新版)烟丝,008 ,3499.6456,5.2694,3976.0000,16.5271,0.7786,51.0698,0.6093,0.0000,0.4544,60.0082,0.4872,2.0468,1.0000,219.2000,3999.9172,2.3133,4649.0000,16.2495,0.1220,2.0500,1.0000,18.8120,0.1502,2.1927,1.0000,37.9443,0.6265,1.5666,1.0000,80.0010,0.3516,93.0500,54.1163,0.4228,3.2454,100.0000,0.0523,0.0600,27.5028,1.0000,0.0690,137.9000,4099.8847,2.4653,4861.5742,18.7266,0.0596,2.6487,1.0000,72.8580,0.3122,3.2026,0.0067,80.6197,0.3528,2.4751,1.0000,99.9982,0.1506,2.2089,1.0000,12.2311,0.0474,1.8931,1.0000,56.5024,0.2426,0.0000,0.0000,4457.9272,27.0,68.6,23.9,60.0
2017-08-02,利群(新版)烟丝,009 ,3500.9175,5.1889,3980.0000,16.4732,0.8687,51.4195,0.4388,0.0000,0.1695,59.9170,0.3529,2.7552,1.0000,219.3000,3999.8156,3.2078,4653.0000,16.2180,0.1141,2.2838,1.0000,18.9387,0.1891,1.5182,1.0000,37.7420,0.3102,2.9461,1.0000,79.9610,0.9221,93.0500,56.9571,0.2382,4.2589,100.0000,0.0696,0.0734,22.3972,1.0000,0.0157,139.0000,4099.8885,2.5476,4854.5820,18.8251,0.0696,1.7961,1.0000,72.6835,0.1079,3.2067,0.0046,81.2001,0.4161,2.2432,1.0000,100.0002,0.1669,1.9967,1.0000,12.2474,0.0590,1.4281,1.0000,56.1106,0.2917,0.0000,0.0001,4445.8496,27.1,68.7,24.0,59.6
2017-08-02,利群(新版)烟丝,010 ,3500.0602,4.9107,3981.0000,16.7095,0.7146,51.7502,0.4759,0.0000,0.0574,60.0751,0.3860,2.5258,1.0000,219.2000,3999.8766,2.7752,4663.0000,16.3684,0.1341,1.5696,1.0000,19.0185,0.1953,1.3341,1.0000,37.8730,0.1023,9.3572,1.0000,80.0000,0.7214,93.2000,54.1213,0.4217,3.2574,100.0000,0.0883,0.0918,17.8409,1.0000,0.0583,133.3000,4099.9132,2.9934,4807.3477,18.8331,0.0713,1.7147,1.0000,72.7041,0.3030,3.2071,0.0051,81.2913,0.3520,2.5654,1.0000,99.9829,0.1049,3.1227,1.0000,12.3188,0.0563,1.0735,0.9994,54.9384,0.4622,0.0444,0.5530,4406.3389,27.0,67.4,24.0,60.3
