日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2017-06-01,利群(新版)烟丝,001 ,3500.0251,4.2526,3912.3967,17.2152,0.6431,49.5947,0.5488,0.8536,0.9948,60.1675,0.5815,1.6236,1.0000,217.2000,4000.2953,3.0414,4623.6123,16.0035,0.1281,5.1957,1.0000,19.3539,0.1775,0.8378,0.9940,37.9840,0.4593,2.1656,1.0000,79.8977,0.7036,92.5000,56.2011,0.1232,10.2821,100.0000,0.0486,0.0653,25.2692,1.0000,0.0300,138.4000,4100.0682,3.5407,4767.1724,18.7009,0.0518,3.2122,1.0000,72.5142,0.3101,3.2043,0.0076,82.3456,0.2257,2.4438,1.0000,99.9978,0.1268,2.6231,1.0000,12.2264,0.0578,1.5788,1.0000,54.9863,0.4637,0.0099,0.5118,4347.1313,27.4,70.2,24.1,60.5
2017-06-01,利群(新版)烟丝,002 ,3500.5344,4.7096,3945.8577,17.3434,0.7801,49.8333,0.4968,0.7828,0.9906,60.0697,0.3673,2.6591,1.0000,219.7000,4000.1125,3.2545,4639.5757,16.1195,0.1216,5.1561,1.0000,19.2272,0.1986,0.9614,0.9980,38.3615,0.1886,4.6624,1.0000,79.9126,0.6437,92.8500,55.5425,0.2242,6.6271,100.0000,0.0466,0.0569,29.0337,1.0000,0.0630,135.7000,4100.0992,3.9319,4874.8633,18.8099,0.0759,1.7131,1.0000,72.2712,0.1941,3.2064,0.0096,82.4688,0.2375,2.1488,1.0000,99.9851,0.1178,2.7883,1.0000,12.2810,0.0830,0.8792,0.9958,55.6090,0.2289,0.0000,0.0039,4446.8457,27.7,71.3,24.0,60.1
2017-06-01,利群(新版)烟丝,003 ,3499.7752,4.5910,3940.2671,17.3529,0.7852,49.8950,0.4273,0.8620,0.9951,60.1026,0.5367,1.7996,1.0000,219.2000,3999.8805,3.5275,4651.5649,16.0502,0.1830,3.5511,1.0000,19.1323,0.2002,1.1118,0.9996,38.2164,0.1634,5.6801,1.0000,79.8494,0.9858,93.1000,55.6976,0.7951,1.8037,100.0000,0.0529,0.0658,25.0499,1.0000,0.0739,142.3000,4100.2633,3.4023,4849.6758,18.9263,0.0746,1.2237,0.9999,72.2217,0.1404,3.2026,0.0090,82.2054,0.2310,2.5900,1.0000,99.9998,0.1260,2.6447,1.0000,12.3181,0.0489,1.2402,0.9999,55.6725,0.1810,0.0000,0.0001,4420.0088,27.0,70.3,23.8,60.4
2017-06-01,利群(新版)烟丝,004 ,3500.0231,4.2189,3948.0750,17.9016,0.7895,50.5386,0.4025,0.3821,0.8742,59.9974,0.3000,3.3303,1.0000,217.4000,4000.2070,3.5964,4657.8823,16.6110,0.1138,4.0681,1.0000,19.0858,0.2974,0.8006,0.9918,38.4523,0.1626,5.2239,1.0000,79.9296,0.5668,93.1000,56.1971,0.2024,6.2622,100.0000,0.0457,0.0612,26.9670,1.0000,0.0619,88.6000,4099.9767,3.9611,4813.7847,18.7171,0.0751,2.1424,1.0000,72.4228,0.1521,3.2022,0.0081,81.6387,0.2848,2.7634,1.0000,99.9886,0.0970,3.3969,1.0000,12.3052,0.0657,0.9877,0.9985,55.4848,0.2235,0.0000,0.0150,4405.2163,27.1,67.8,23.9,60.6
2017-06-01,利群(新版)烟丝,005 ,3500.3669,4.4491,3940.9812,17.8035,0.8052,50.2907,0.7552,0.3131,0.8262,59.9850,0.3803,2.6163,1.0000,217.1000,3999.7457,3.5595,4669.5894,16.4667,0.1207,4.2333,1.0000,19.0771,0.1572,1.5330,1.0000,38.0217,0.1057,9.3963,1.0000,79.9813,0.3286,93.4000,56.5770,0.2588,4.4090,100.0000,0.0474,0.0449,36.8079,1.0000,0.0088,97.5000,4098.9377,4.2162,4827.3354,18.5682,0.0673,1.8227,1.0000,72.5503,0.1631,3.2018,0.0096,81.6401,0.2098,3.7492,1.0000,99.9770,0.1027,3.1698,1.0000,12.1936,0.0917,1.1142,0.9996,55.6174,0.2387,0.0000,0.0048,4415.2031,26.9,67.9,24.1,60.6
2017-06-01,利群(新版)烟丝,006 ,3501.4339,9.7724,3957.7625,17.9305,0.8917,50.2682,0.5110,0.4773,0.9239,59.9757,0.3593,2.7606,1.0000,218.1000,4000.2605,3.3335,4681.8379,16.6068,0.1198,3.8773,1.0000,19.0983,0.1662,1.4072,1.0000,37.9664,0.1329,7.4387,1.0000,80.0100,0.9393,93.7000,55.3556,1.5111,1.0245,100.0000,0.0602,0.0818,20.1182,1.0000,0.0675,88.9000,4099.7763,3.9464,4868.7979,18.5692,0.0674,1.8263,1.0000,72.4161,0.1311,3.2012,0.0093,81.8129,0.2690,2.7101,1.0000,100.0061,0.1260,2.6296,1.0000,12.1925,0.0702,1.4605,1.0000,55.8188,0.1874,0.0000,0.0000,4452.1919,26.9,68.1,23.9,60.1
2017-06-02,利群(新版)烟丝,007 ,3499.2120,4.5724,3925.6895,17.3906,0.8284,50.4591,0.6179,0.2918,0.8093,60.0018,0.3812,2.6218,1.0000,218.9000,3999.8719,3.2125,4649.5405,16.0898,0.1142,5.5750,1.0000,19.2850,0.2255,0.7613,0.9888,38.0513,0.4484,2.1919,1.0000,80.1089,0.9787,93.0000,56.6691,0.1794,6.1887,100.0000,0.0729,0.0775,21.2015,1.0000,0.0099,130.2000,4100.1209,3.8041,4801.0737,18.6560,0.0791,1.9216,1.0000,72.6200,0.1327,3.2005,0.0082,81.3386,0.3174,2.7954,1.0000,99.9869,0.1606,2.0489,1.0000,11.9936,0.1196,1.3751,1.0000,54.3388,0.5919,0.3723,0.8680,4382.5977,27.0,68.1,23.9,60.6
2017-06-02,利群(新版)烟丝,008 ,3498.8640,8.1834,3954.3342,17.5567,0.8898,50.6050,0.5320,0.2475,0.7711,59.9505,0.2931,3.3561,1.0000,220.6000,4000.4015,3.3163,4661.4204,16.2726,0.1201,4.7952,1.0000,19.1930,0.1397,1.4482,1.0000,38.3047,0.1362,6.5989,1.0000,79.9052,0.6578,93.2500,54.5072,0.9218,1.6299,100.0000,0.0738,0.0823,19.9413,1.0000,0.0232,119.4000,4100.0695,3.8851,4828.4468,18.5602,0.0606,1.9817,1.0000,72.5649,0.2625,3.2013,0.0090,81.8545,0.2000,3.5764,1.0000,99.9802,0.1590,2.0555,1.0000,12.2658,0.1988,0.3927,0.8805,55.4914,0.7040,0.0000,0.2426,4421.3501,27.0,66.9,23.9,60.4
2017-06-02,利群(新版)烟丝,009 ,3500.7234,4.3739,3974.0220,17.7892,0.9186,50.6095,0.5565,0.2339,0.7586,59.9599,0.3501,2.8183,1.0000,221.4000,4000.0612,2.8013,4659.4131,16.5356,0.1271,3.8406,1.0000,19.2725,0.2376,0.7401,0.9868,38.2953,0.1376,6.5505,1.0000,80.0220,0.7126,93.2000,56.6026,0.1445,7.8386,100.0000,0.0425,0.0545,30.3379,1.0000,0.0126,104.3000,4099.8595,4.3274,4876.7988,18.5544,0.0616,1.9188,1.0000,72.6350,0.2320,3.2015,0.0080,81.7552,0.2208,3.3891,1.0000,100.0017,0.1240,2.6843,1.0000,12.3211,0.0783,0.7615,0.9888,55.6240,0.3363,0.0000,0.0318,4470.3057,26.9,67.4,23.9,60.6
2017-06-02,利群(新版)烟丝,010 ,3498.9196,8.1452,3966.7903,17.7945,0.9043,50.4991,0.4368,0.3823,0.8743,59.9569,0.2883,3.4184,1.0000,220.9000,3999.5124,3.0586,4663.8223,16.4727,0.1168,4.3573,1.0000,19.3286,0.1616,0.9724,0.9982,38.1264,0.1001,9.5684,1.0000,79.9550,0.7867,93.2500,54.8449,1.2710,1.2706,100.0000,0.0480,0.0578,28.5489,1.0000,0.0284,108.5000,4100.4961,3.7534,4770.8281,18.6642,0.0625,2.4773,1.0000,72.6637,0.3303,3.2012,0.0097,81.1373,0.2552,3.7393,1.0000,99.9575,0.1241,2.5728,1.0000,12.2926,0.1506,0.4591,0.9158,53.8106,0.9387,0.4224,0.8974,4363.1787,27.0,67.4,23.9,60.8
