日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,润叶加料贮叶时间,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2020-04-02,利群(新版)烟丝,011 ,4000.0738,5.3918,3960.7571,18.9535,0.7314,60.5604,0.3806,2.1369,1.0000,63.0393,0.2314,4.2645,1.0000,238.5000,4200.1927,5.1657,4732.6860,17.5126,0.1009,1.6105,1.0000,18.9839,0.1015,3.2329,1.0000,37.9897,0.2869,3.4731,1.0000,84.0094,0.1598,94.6500,54.3351,0.7397,1.0523,100.0000,0.0565,0.0837,19.6904,1.0000,0.0039,56.9000,1172,4000.0794,2.1083,4757.5811,18.5014,0.0416,3.9974,1.0000,37.4304,0.0249,459.9851,0.2879,145.7797,0.1162,5.0047,0.0034,1.4098,0.0017,83.6663,0.2980,2.6107,1.0000,0.3202,0.0011,0.0000,64.1443,0.5473,67.2075,0.6788,-20.1692,0.5285,134.9981,0.0357,9.3572,100.0000,100.0002,0.1502,2.2186,1.0000,12.0915,0.0566,2.3057,1.0000,59.9478,0.6779,0.9578,0.9980,4294.9756,26.8,67.8,23.1,59.8
2020-04-02,利群(新版)烟丝,012 ,3999.6926,3.9607,3951.2888,19.0095,0.7139,60.5608,0.4163,1.9533,1.0000,63.0444,0.2631,3.7441,1.0000,237.7000,4199.3220,5.0058,4720.3672,17.6825,0.0900,1.1758,0.9998,18.9351,0.0796,3.9154,1.0000,38.2037,0.3125,2.9828,1.0000,83.9697,0.2517,94.5000,56.6176,0.2350,1.9609,100.0000,0.0374,0.0432,38.3313,1.0000,0.0981,51.2000,1096,3999.8316,2.0014,4834.3486,18.4387,0.0450,3.2499,1.0000,37.4713,0.0243,460.0203,0.3116,145.7507,0.1250,5.0068,0.0029,1.4120,0.0018,83.7481,0.2016,3.7228,1.0000,0.3200,0.0011,0.0000,64.2228,0.3988,66.8658,0.6424,-20.1637,0.5004,133.9928,0.3711,1.8027,100.0000,100.0013,0.1680,1.9815,1.0000,12.1387,0.0449,3.2549,1.0000,60.1473,0.5294,1.3521,1.0000,4372.1367,26.8,67.8,22.9,59.9
2020-04-02,利群(新版)烟丝,013 ,3999.9060,4.2363,3953.0210,18.9657,0.7591,60.7263,0.2729,2.7773,1.0000,63.0581,0.1906,5.1446,1.0000,238.0000,4199.6589,4.8670,4732.5254,17.5623,0.1141,1.2790,0.9999,18.9643,0.0684,4.6970,1.0000,38.4842,0.0634,13.2191,1.0000,83.9676,0.3116,94.7500,54.1747,1.3066,0.5548,100.0000,0.1019,0.1419,11.5037,1.0000,0.1051,56.3000,1231,3999.9657,1.8793,4751.5454,18.3794,0.0437,2.8969,1.0000,37.4345,0.0177,459.9747,0.2994,145.7106,0.1286,5.0075,0.0034,1.4142,0.0020,83.1188,0.4132,2.3246,1.0000,0.3198,0.0011,0.0000,65.3943,0.0946,67.3596,0.6196,-20.1347,0.5193,132.9468,0.1786,5.5007,100.0000,99.9985,0.1653,2.0132,1.0000,12.1085,0.0709,1.9209,1.0000,60.2653,0.3568,2.1166,1.0000,4298.9224,26.9,67.6,23.0,60.2
2020-04-02,利群(新版)烟丝,014 ,3999.9896,4.1572,3955.0247,18.8914,0.8064,60.2347,0.5587,1.6498,1.0000,62.9536,0.2416,4.0754,1.0000,238.2000,4199.6984,4.5697,4731.2803,17.5015,0.1013,1.6407,1.0000,18.9075,0.0796,3.8006,1.0000,38.5284,0.0660,12.4792,1.0000,83.9996,0.3593,94.7000,55.4550,0.1571,5.4007,100.0000,0.0744,0.0845,19.4337,1.0000,0.0786,58.3000,1240,3999.7880,1.6764,4834.0474,18.2871,0.0393,2.4355,1.0000,37.4355,0.0180,460.0082,0.3255,145.7289,0.1519,5.0077,0.0035,1.4160,0.0022,83.4291,0.2508,3.4163,1.0000,0.3199,0.0011,0.0000,65.3280,0.1509,67.0770,0.5398,-20.1187,0.5570,132.2727,0.2154,3.5173,100.0000,100.0009,0.2128,1.5646,1.0000,12.0942,0.0898,1.4629,1.0000,60.0678,0.3664,1.8813,1.0000,4379.7588,26.7,68.0,23.0,59.9
2020-04-02,利群(新版)烟丝,015 ,4000.1907,4.1903,3953.0005,19.0425,0.7845,60.4169,0.3298,2.6111,1.0000,63.0551,0.3020,3.2506,1.0000,238.4000,4199.6577,4.9162,4737.8853,17.5433,0.1222,1.2462,0.9999,18.9040,0.0957,3.1476,1.0000,38.4697,0.1084,7.7835,1.0000,84.0348,0.2161,94.8000,55.6393,0.6132,1.2832,100.0000,0.1073,0.1793,9.0934,1.0000,0.0446,57.4000,1258,3999.9114,1.7022,4793.9341,18.3265,0.0480,2.2661,1.0000,37.4213,0.0199,460.0042,0.3282,145.6440,0.1187,5.0108,0.0023,1.4165,0.0017,83.4115,0.2540,3.3975,1.0000,0.3197,0.0012,0.0000,65.3837,0.1753,67.2129,0.6233,-20.1476,0.5431,132.6017,0.1294,6.7044,100.0000,100.0041,0.4397,0.7550,0.9771,12.0999,0.0651,2.0486,1.0000,60.0605,0.2460,2.7926,1.0000,4343.7153,26.7,68.1,22.9,59.5
2020-04-03,利群(新版)烟丝,016 ,3999.8685,4.0834,3948.2544,19.1311,0.8047,60.4112,0.5654,1.5263,1.0000,63.0301,0.2569,3.8536,1.0000,237.8000,4199.8631,5.0548,4704.7627,17.7303,0.1185,0.7584,0.9886,18.9317,0.1402,2.2155,1.0000,37.7859,0.2393,3.8804,1.0000,83.9839,0.2263,94.1500,54.9815,0.2516,3.9499,100.0000,0.0650,0.0836,19.6874,1.0000,0.0582,45.8000,539,4000.2235,1.8225,4769.5820,18.4213,0.0432,3.2520,1.0000,37.4130,0.0211,460.0018,0.3557,145.6787,0.1283,5.0101,0.0027,1.4145,0.0020,83.1268,0.4079,2.3477,1.0000,0.3203,0.0013,0.0000,63.3811,0.9778,68.0154,0.6403,-20.1331,0.5133,132.9282,0.1478,6.6038,100.0000,100.0032,0.1942,1.7107,1.0000,12.1046,0.0467,2.8902,1.0000,60.0992,0.4363,1.6038,1.0000,4317.3081,26.9,68.4,22.9,60.1
2020-04-03,利群(新版)烟丝,017 ,3999.9092,3.4783,3950.5779,19.0779,0.7235,60.5552,0.3721,2.1900,1.0000,63.0707,0.2649,3.6865,1.0000,237.6000,4200.5073,5.1200,4735.4863,17.5824,0.1094,1.2725,0.9999,18.9960,0.0782,4.2473,1.0000,38.0407,0.0892,11.0565,1.0000,83.9615,0.2257,94.7500,55.2710,0.5127,1.7742,100.0000,0.1020,0.1496,10.9107,1.0000,0.0425,56.5000,544,3999.9105,1.6243,4827.7744,18.4592,0.0420,3.6430,1.0000,37.4176,0.0207,460.0599,0.3098,145.7546,0.1305,5.0075,0.0034,1.4160,0.0019,83.3581,0.2955,2.9799,1.0000,0.3198,0.0011,0.0000,64.7426,0.1007,67.8443,0.5306,-20.0621,0.5070,133.5264,0.2677,3.0795,100.0000,100.0010,0.2152,1.5473,1.0000,12.1254,0.0841,1.6862,1.0000,60.3355,0.3068,2.5374,1.0000,4366.7798,26.6,67.9,22.9,60.1
2020-04-03,利群(新版)烟丝,018 ,3999.6324,4.2662,3942.0559,18.9066,0.7714,60.2223,0.6986,1.3254,1.0000,62.9651,0.2968,3.3300,1.0000,237.5000,4199.8992,5.0002,4727.8647,17.5601,0.0992,1.4783,1.0000,18.9886,0.0966,3.4111,1.0000,37.9454,0.1343,7.3083,1.0000,84.0849,0.6026,94.6000,54.7113,0.4686,1.9289,100.0000,0.0750,0.1442,11.3847,1.0000,0.0452,60.7000,2065,4000.3288,2.0773,4768.7930,18.6765,0.0452,2.3840,1.0000,37.4273,0.0281,459.9956,0.3063,145.6489,0.1225,5.0109,0.0028,1.5580,0.0020,83.4219,0.3232,2.6589,1.0000,0.3197,0.0010,0.0000,64.6044,0.1205,68.1414,0.5468,-20.0793,0.5151,134.8550,0.4927,0.7746,100.0000,100.0034,0.1635,2.0315,1.0000,12.1542,0.0962,1.5736,1.0000,59.3053,0.6417,0.6780,0.9790,4314.7798,26.9,67.7,23.0,59.6
2020-04-05,利群(新版)烟丝,019 ,4000.1140,3.6564,3951.1528,18.9925,0.7022,60.2645,0.6607,1.3802,1.0000,62.9698,0.2505,3.9517,1.0000,237.9000,4200.5403,5.5684,4730.4663,17.6539,0.1055,1.0936,0.9995,18.9793,0.1524,2.1415,1.0000,36.5337,0.5495,0.9303,0.9974,84.0448,0.3601,94.7500,55.1694,0.3753,2.5144,100.0000,0.0759,0.1870,8.7753,1.0000,0.1487,46.5000,243,3999.7030,1.9053,4792.3516,18.7041,0.0526,1.8764,1.0000,37.4300,0.0184,460.0094,0.2629,145.6330,0.1087,5.0122,0.0029,1.5438,0.0020,83.7157,0.3286,2.3174,1.0000,0.3202,0.0011,0.0000,62.9089,0.9134,68.1228,0.6746,-20.1024,0.4927,135.0702,0.2520,1.2300,100.0000,100.0032,0.1421,2.3386,1.0000,12.0542,0.0602,1.9609,1.0000,59.6129,0.3668,1.4655,1.0000,4327.3066,26.4,67.4,23.0,59.7
2020-04-05,利群(新版)烟丝,020 ,3999.9602,3.3912,3950.2756,19.0263,0.7908,60.4198,0.3559,2.4164,1.0000,63.0100,0.2507,3.9756,1.0000,237.8000,4200.3130,5.1063,4727.5093,17.6152,0.1030,1.2448,0.9999,19.0354,0.0736,4.3661,1.0000,37.2789,0.1234,6.1555,1.0000,83.9776,0.1475,94.6500,54.7900,0.5704,1.6306,100.0000,0.0614,0.0996,16.5272,1.0000,0.1056,47.6000,251,3999.9992,1.7579,4757.5361,18.4638,0.0798,1.9369,1.0000,37.4307,0.0188,459.9713,0.2752,145.5891,0.1181,5.0135,0.0030,1.5536,0.0018,83.7791,0.2579,2.8704,1.0000,0.3199,0.0011,0.0000,64.9106,0.1397,67.2218,0.9553,-20.1803,0.5207,133.4879,0.5426,1.5432,100.0000,100.0047,0.1604,2.0679,1.0000,12.1542,0.1188,1.2750,0.9999,60.1493,0.4717,1.5189,1.0000,4297.7598,27.0,68.2,23.0,59.9
