日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2018-06-02,利群(新版)烟丝,001 ,3499.9300,4.1444,3992.1589,17.6405,0.7949,49.9318,0.6011,0.5924,0.9622,59.9790,0.1664,5.9688,1.0000,220.0000,3999.7039,3.7127,4666.5259,16.5130,0.1078,4.6000,1.0000,19.3931,0.1391,0.9754,0.9983,37.9071,0.4147,2.3368,1.0000,79.9520,0.5134,93.3000,55.0416,0.2365,6.9875,100.0000,0.0573,0.0659,24.9911,1.0000,0.0327,122.8000,4100.1597,2.2754,4789.8125,18.7673,0.0461,3.1304,1.0000,72.6682,0.1270,3.1981,0.0104,82.6930,0.2851,1.5282,1.0000,99.9978,0.1531,2.1728,1.0000,12.2611,0.1238,0.9126,0.9969,52.6539,0.5404,1.4471,1.0000,4390.0361,26.7,68.0,21.3,61.3
2018-06-02,利群(新版)烟丝,002 ,3500.1530,4.2416,4002.4458,17.7169,0.8173,50.2907,0.5655,0.4181,0.8952,59.9685,0.2390,4.1408,1.0000,220.6000,3999.7891,4.2060,4667.9541,16.4736,0.1006,5.0552,1.0000,19.3568,0.1132,1.3056,1.0000,37.7684,0.1318,7.0001,1.0000,80.0204,0.5238,93.4000,55.3126,0.2860,5.4631,100.0000,0.0746,0.1008,16.2825,1.0000,0.0438,124.6000,4100.0298,2.5650,4865.0596,18.7469,0.0633,2.3859,1.0000,73.0508,0.1452,3.1948,0.0052,82.4876,0.3666,1.3753,1.0000,99.9861,0.0858,3.8319,1.0000,12.1773,0.0435,3.2386,1.0000,52.6774,0.2462,3.1444,1.0000,4456.7861,26.8,68.0,22.3,60.1
2018-06-02,利群(新版)烟丝,003 ,3500.1172,4.0029,3999.8638,17.8720,0.9471,50.1251,0.6312,0.4620,0.9171,60.0717,0.3298,2.9592,1.0000,220.5000,4000.3868,3.5397,4676.6826,16.4801,0.0891,5.6853,1.0000,19.3102,0.2949,0.5536,0.9516,38.2265,0.4305,2.1476,1.0000,79.9268,0.5230,93.6500,54.8154,0.1061,15.1285,100.0000,0.0494,0.0624,26.4447,1.0000,0.1244,125.4000,4099.9868,2.3302,4818.9385,18.7250,0.0499,3.1718,1.0000,73.2994,0.1545,3.1958,0.0091,82.3383,0.2436,2.2740,1.0000,99.9956,0.1491,2.2251,1.0000,12.2668,0.0586,1.8947,1.0000,53.1874,0.5016,1.2046,0.9998,4407.5552,26.9,67.8,21.8,60.2
2018-06-03,利群(新版)烟丝,004 ,3500.0390,4.3160,4005.5732,17.9798,0.8861,50.0966,0.4418,0.6816,0.9796,60.0753,0.3463,2.8151,1.0000,220.8000,4000.2566,3.5962,4691.3149,16.5960,0.0956,4.8949,1.0000,19.3760,0.1892,0.7469,0.9875,38.2325,0.1562,5.9062,1.0000,79.9645,0.3821,93.8500,55.3230,1.6468,0.9467,100.0000,0.0453,0.0660,25.0214,1.0000,0.0253,122.4000,4099.8962,2.2274,4869.5264,18.8060,0.0496,2.6468,1.0000,73.3146,0.0446,3.1976,0.0048,81.7234,0.1986,3.8212,1.0000,99.9940,0.1004,3.3015,1.0000,12.2605,0.0630,1.7970,1.0000,52.2538,0.2550,3.5899,1.0000,4449.7617,26.7,67.9,21.9,60.2
2018-06-03,利群(新版)烟丝,005 ,3499.9031,3.6811,3998.6587,17.9827,0.8058,50.2135,0.6527,0.4017,0.8859,59.9158,0.3828,2.5393,1.0000,220.4000,3999.5862,3.4492,4686.7778,16.5021,0.0899,5.5552,1.0000,19.2962,0.1409,1.1920,0.9998,38.0966,0.1290,7.5037,1.0000,79.9642,0.4693,93.8000,55.8344,2.2666,0.6126,100.0000,0.0415,0.0550,30.0642,1.0000,0.0687,125.6000,4100.1985,2.2591,4846.8379,18.7188,0.0498,3.2190,1.0000,73.2778,0.1647,3.1977,0.0089,81.9131,0.1903,3.6553,1.0000,100.0076,0.1297,2.5503,1.0000,12.1836,0.0726,1.9119,1.0000,52.5610,0.1821,4.4644,1.0000,4432.1270,26.6,68.2,22.0,59.9
2018-06-03,利群(新版)烟丝,006 ,3501.9344,45.5264,4002.9932,18.1429,0.9175,50.0340,0.5478,0.5878,0.9611,60.0408,0.3308,2.9815,1.0000,219.6000,4000.2461,4.0987,4667.1787,16.9506,0.0998,3.5038,1.0000,18.9882,0.1431,1.8917,1.0000,37.9447,0.2443,4.0182,1.0000,79.9570,0.3666,93.4000,55.0351,0.1370,12.0790,100.0000,0.0507,0.0555,29.7508,1.0000,0.0605,106.5000,4099.9515,1.9999,4843.2451,18.9102,0.0677,1.4272,1.0000,73.3186,0.0433,3.1991,0.0047,81.6478,0.1678,4.6731,1.0000,100.0241,0.1277,2.5470,1.0000,12.2309,0.0649,1.8950,1.0000,52.9776,0.1954,3.4492,1.0000,4433.5703,26.6,67.8,22.0,59.9
2018-06-03,利群(新版)烟丝,007 ,3500.1362,3.9688,4004.5435,17.9055,0.8781,50.2342,0.6698,0.3811,0.8735,59.9917,0.1839,5.4219,1.0000,220.7000,4000.6140,3.4709,4677.7798,16.6232,0.1048,4.3802,1.0000,19.0927,0.1716,1.3740,1.0000,37.8978,0.1308,7.3829,1.0000,79.8921,0.6593,93.6000,55.7987,0.2184,6.4124,100.0000,0.0443,0.0531,31.0856,1.0000,0.0475,123.8000,4100.0361,2.1008,4812.6792,18.7252,0.0968,1.6348,1.0000,73.4964,0.1600,3.1947,0.0087,82.3837,0.2243,2.4023,1.0000,99.9964,0.0951,3.4907,1.0000,12.1895,0.0571,2.3978,1.0000,53.2890,0.2814,2.0269,1.0000,4404.3306,26.9,68.0,22.0,59.9
2018-06-03,利群(新版)烟丝,008 ,3497.1927,56.9667,4004.6277,17.9519,0.9041,50.2279,0.6172,0.4170,0.8945,59.9701,0.3726,2.6568,1.0000,220.2000,4000.4754,4.1401,4677.8237,16.6038,0.0993,4.6847,1.0000,19.0864,0.1364,1.7441,1.0000,38.2254,0.1088,8.5035,1.0000,79.9375,0.5314,93.6500,55.0774,0.2158,7.6051,100.0000,0.0551,0.0730,22.5769,1.0000,0.1000,116.3000,4099.7879,2.1887,4892.6113,18.5848,0.0558,2.2968,1.0000,73.4752,0.1204,3.1953,0.0084,81.1898,0.2032,4.6096,1.0000,99.9978,0.0676,4.9173,1.0000,12.2634,0.0835,1.3442,1.0000,53.5182,0.4443,1.1118,0.9996,4494.2305,26.7,67.6,21.9,60.1
2018-06-03,利群(新版)烟丝,009 ,3500.0959,3.8951,4003.2629,18.1922,0.8994,50.1638,0.6193,0.4501,0.9115,60.0206,0.2877,3.4514,1.0000,219.9000,4000.7264,3.4892,4688.4014,16.8132,0.0939,4.2120,1.0000,19.2959,0.2231,0.7531,0.9881,37.8358,0.3968,2.3822,1.0000,79.9665,0.5166,93.8000,54.8525,0.8077,2.0026,100.0000,0.0480,0.0602,27.4366,1.0000,0.0341,112.3000,4100.0101,2.0471,4792.4912,18.7498,0.0591,2.5403,1.0000,73.4543,0.3917,3.1958,0.0072,81.1534,0.2670,3.5535,1.0000,100.0445,0.1158,2.7516,1.0000,12.2514,0.0607,1.9140,1.0000,52.0224,0.2274,4.3644,1.0000,4365.1309,26.9,67.4,22.0,60.3
2018-06-03,利群(新版)烟丝,010 ,3500.1222,3.5625,3992.9551,18.1244,0.8108,50.2550,0.6367,0.3900,0.8790,59.9718,0.3547,2.7929,1.0000,220.1000,3999.6992,3.2622,4689.6016,16.6894,0.0909,4.8054,1.0000,19.3295,0.1366,1.1483,0.9997,37.8838,0.1462,6.5752,1.0000,79.9417,0.4025,93.8000,54.0563,0.3180,4.2514,100.0000,0.0475,0.0630,26.2118,1.0000,0.0085,119.7000,4099.8401,2.2459,4864.6353,18.6913,0.0508,3.2236,1.0000,72.9998,0.1152,3.1996,0.0061,81.1895,0.2043,4.5854,1.0000,100.0188,0.1180,2.7722,1.0000,12.2615,0.0630,1.7896,1.0000,52.0801,0.2876,3.3842,1.0000,4434.1968,26.5,67.7,22.0,60.0
