日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2019-06-01,利群(新版)烟丝,001 ,3499.7633,4.3290,3994.4470,17.6772,0.9151,50.6450,0.4830,0.2450,0.7688,59.9942,0.3579,2.7884,1.0000,220.3000,4000.0093,3.4390,4681.0000,16.5440,0.1053,4.6089,1.0000,19.1221,0.0785,2.8786,1.0000,38.5490,0.2385,3.4251,1.0000,79.9367,0.4173,94.0000,56.1710,0.3989,3.2000,100.0000,0.0833,0.1765,9.2839,1.0000,0.0069,109.4000,4099.8328,2.0134,4844.4121,18.8247,0.0635,1.9686,1.0000,73.4269,0.0418,3.1988,0.0045,81.2810,0.4042,2.2425,1.0000,1632.7688,34.8571,37.2129,0.0997,35.0000,0.0000,100.0141,0.0912,3.6050,1.0000,12.1991,0.0615,2.1736,1.0000,55.2248,0.4191,0.0000,0.2958,4415.8726,26.9,67.5,22.0,61.8
2019-06-02,利群(新版)烟丝,002 ,3499.8750,4.2735,3991.2212,17.5602,0.8890,50.7602,0.5016,0.1594,0.6837,60.1120,0.5370,1.7927,1.0000,220.1000,3999.9292,3.6941,4676.5679,16.4465,0.1116,4.6383,1.0000,19.1648,0.1167,1.8145,1.0000,38.4557,0.3764,2.2533,1.0000,79.9890,0.4240,93.5000,54.3683,0.8975,1.6224,100.0000,0.0893,0.1642,9.9716,1.0000,0.0335,111.5000,4100.0038,2.0693,4831.6660,18.8207,0.0602,2.1009,1.0000,73.3483,0.0182,3.1947,0.0048,82.0003,0.2009,3.3173,1.0000,1651.7797,33.0273,37.6404,0.1343,35.0000,0.0000,99.9984,0.1379,2.4125,1.0000,12.1950,0.0757,1.7831,1.0000,53.5489,0.2265,2.1351,1.0000,4414.2759,27.0,68.1,21.8,61.9
2019-06-02,利群(新版)烟丝,003 ,3500.1282,4.3424,3991.0308,17.6872,0.7528,50.3723,0.5160,0.4055,0.8881,60.3071,0.7463,1.2027,0.9998,220.2000,4000.5054,3.6946,4681.4883,16.7250,0.1157,3.6718,1.0000,19.0762,0.1811,1.3325,1.0000,37.9402,0.1737,5.6414,1.0000,79.9333,0.6966,93.6500,54.9375,1.3555,1.2142,100.0000,0.0839,0.1670,9.8128,1.0000,0.0216,94.3000,4100.0705,2.1923,4810.0518,18.7764,0.0692,2.0406,1.0000,73.6862,0.0459,3.1969,0.0052,82.1635,0.2404,2.5467,1.0000,1584.4855,41.8100,35.7292,0.1854,35.0000,0.0000,100.0189,0.1317,2.4841,1.0000,12.1304,0.0595,2.6307,1.0000,54.3717,0.5051,0.4147,0.8932,4385.2905,26.9,67.2,21.9,61.8
2019-06-03,利群(新版)烟丝,004 ,3501.1431,14.8051,3987.6851,17.5629,0.9313,50.8636,0.5808,0.0783,0.5928,60.0578,0.3455,2.8384,1.0000,219.8000,4000.0178,3.3308,4671.3330,16.4248,0.1007,5.2125,1.0000,18.9666,0.0915,3.0373,1.0000,38.5126,0.0743,11.1601,1.0000,79.8846,0.6357,93.5500,54.8151,1.1238,1.4283,100.0000,0.1015,0.2041,8.0003,1.0000,0.1320,108.3000,4099.7636,1.7771,4819.1597,18.9127,0.0566,1.6913,1.0000,73.3894,0.0000,3.2016,0.0033,81.9171,0.2669,2.6011,1.0000,1662.9137,38.2846,35.5300,0.1089,35.0000,0.0000,100.0182,0.1067,3.0678,1.0000,12.2221,0.0610,2.0645,1.0000,56.2244,0.3331,0.0000,0.0001,4395.5610,27.1,67.9,22.0,62.0
2019-06-03,利群(新版)烟丝,005 ,3500.0779,4.3294,3994.3235,17.6005,0.8137,51.1681,0.3771,0.0000,0.3278,59.9711,0.2721,3.6398,1.0000,220.3000,3999.9046,3.2440,4684.9839,16.4841,0.1048,4.8198,1.0000,19.0053,0.0903,2.9343,1.0000,38.4156,0.0733,11.7572,1.0000,79.9488,0.6658,93.7500,54.6917,0.7430,2.1049,100.0000,0.0884,0.1780,9.1992,1.0000,0.0537,108.5000,4100.0654,1.8542,4840.4995,18.7406,0.0686,2.2309,1.0000,73.7333,0.1154,3.2059,0.0068,81.7937,0.2294,3.2053,1.0000,1623.0571,41.2070,35.4989,0.2667,35.0000,0.0000,100.0142,0.0979,3.3557,1.0000,12.1998,0.0886,1.5063,1.0000,53.6418,0.5369,0.8432,0.9943,4420.0015,26.9,67.8,22.0,62.1
2019-06-04,利群(新版)烟丝,006 ,3500.1924,4.3028,3990.9573,17.5250,0.9714,50.4647,0.6620,0.2696,0.7907,59.8819,0.3951,2.4312,1.0000,220.2000,4000.1915,3.3676,4680.1602,16.3599,0.0980,5.5785,1.0000,19.1253,0.1069,2.1046,1.0000,38.6993,0.1113,6.8898,1.0000,79.9385,0.6609,93.6500,55.1050,0.6883,2.3705,100.0000,0.0847,0.1573,10.4184,1.0000,0.0500,119.2000,4099.8206,1.8378,4844.7959,18.8804,0.0661,1.6125,1.0000,73.5824,0.0000,3.2085,0.0038,82.2800,0.2844,2.0158,1.0000,1558.8899,34.9745,34.1285,0.1328,35.0000,0.0000,99.9763,0.1219,2.6702,1.0000,12.1998,0.0520,2.5679,1.0000,56.4703,0.2114,0.0000,0.0000,4418.4302,26.7,68.0,22.0,61.9
2019-06-04,利群(新版)烟丝,007 ,3499.9775,3.9746,3986.7583,17.5932,0.7656,51.3672,0.5008,0.0000,0.2317,60.0142,0.2985,3.3341,1.0000,219.8000,3999.9389,3.1536,4694.6377,16.4229,0.0979,5.3678,1.0000,19.0021,0.0881,3.0205,1.0000,38.6501,0.1930,4.0588,1.0000,79.8725,0.6707,93.8500,55.6453,0.5435,2.6708,100.0000,0.0988,0.2483,6.5802,1.0000,0.0455,104.4000,4100.1046,1.9422,4843.1309,18.7987,0.0615,2.1761,1.0000,73.3324,0.0971,3.2021,0.0039,83.5917,0.2788,0.4882,0.9285,1599.5354,40.5548,35.2704,0.1327,35.0000,0.0000,99.9843,0.1117,2.9382,1.0000,12.0760,0.0745,2.1293,1.0000,55.0876,0.1517,0.0000,0.2818,4418.7778,26.8,67.8,23.1,62.1
2019-06-05,利群(新版)烟丝,008 ,3499.9412,3.9341,3990.7500,17.5850,0.8547,51.1143,0.3713,0.0000,0.3791,60.0708,0.4612,2.1170,1.0000,220.1000,3999.8527,3.4401,4673.9419,16.5298,0.1112,4.4055,1.0000,19.0793,0.1420,1.6922,1.0000,38.7083,0.1795,4.2544,1.0000,79.8715,0.6918,93.5500,55.9951,0.1605,8.3186,100.0000,0.0866,0.1997,8.2013,1.0000,0.0761,104.5000,4099.9561,1.9915,4827.2466,18.8252,0.0676,1.8484,1.0000,73.3885,0.0135,3.1953,0.0034,81.5866,0.4732,1.7001,1.0000,1617.8515,48.0647,35.9614,0.1168,35.0000,0.0000,99.9857,0.1072,3.0658,1.0000,12.1029,0.0503,3.2907,1.0000,53.7981,0.2311,1.7339,1.0000,4397.2998,26.9,67.9,23.1,61.8
2019-06-05,利群(新版)烟丝,009 ,3499.1500,9.2000,3989.9983,17.5250,1.0596,51.1809,0.4457,0.0000,0.3424,60.1051,0.4290,2.2492,1.0000,220.1000,3999.7450,3.4372,4676.8579,16.4837,0.0966,5.2344,1.0000,19.0172,0.1102,2.3689,1.0000,38.5390,0.1051,7.8081,1.0000,79.9987,0.7750,93.5000,55.3128,0.6172,2.5316,100.0000,0.0933,0.1967,8.3131,1.0000,0.0397,108.5000,4099.9847,1.8909,4839.2446,18.5589,0.3830,0.3124,0.7786,73.6285,0.0000,3.2028,0.0041,82.3553,0.2789,1.9660,1.0000,1603.9425,38.7512,35.6028,0.1174,35.0000,0.0000,99.9907,0.0847,3.8988,1.0000,12.1522,0.0674,2.2138,1.0000,55.1985,0.3060,0.0000,0.2583,4414.5220,26.9,67.7,22.8,62.3
2019-06-08,利群(新版)烟丝,010 ,3499.9276,4.5054,3994.0054,17.5053,0.7288,51.0974,0.4380,0.0000,0.4120,59.9750,0.3476,2.8528,1.0000,219.9000,3999.5930,3.8474,4667.3916,16.4065,0.1190,4.4627,1.0000,18.9250,0.1177,2.4788,1.0000,38.4759,0.1759,4.7834,1.0000,79.9152,0.6709,93.3500,54.7297,0.8664,1.8196,100.0000,0.0708,0.1394,11.7894,1.0000,0.0023,108.5000,4099.9485,2.0192,4827.1572,18.9462,0.0663,1.2759,0.9999,73.5755,0.0000,3.2059,0.0041,82.7346,0.2790,1.5118,1.0000,1628.6523,39.2959,38.8712,0.2613,35.0000,0.0000,100.0065,0.2472,1.3399,0.9999,12.1522,0.0553,2.6986,1.0000,55.0868,0.3166,0.0000,0.3920,4396.6973,26.8,68.0,23.0,61.9
2019-06-08,利群(新版)烟丝,011 ,3500.0846,3.9138,3996.6655,17.7927,0.8206,50.6790,0.4518,0.2368,0.7613,60.2303,0.5943,1.5536,1.0000,220.5000,3999.7519,3.5503,4681.2563,16.5351,0.0988,4.9427,1.0000,18.9669,0.0875,3.1746,1.0000,38.9792,0.3687,1.8269,1.0000,79.9327,0.4996,93.6000,55.8378,0.1875,7.3992,100.0000,0.0807,0.1525,10.7551,1.0000,0.0268,94.8000,4100.1208,2.2524,4842.6855,18.8954,0.0534,1.9031,1.0000,73.4892,0.0035,3.1974,0.0027,82.3159,0.3014,1.8626,1.0000,1609.2482,67.7611,41.0785,1.0632,35.0000,0.0000,99.9941,0.5681,0.5833,0.9216,12.1648,0.0623,2.3302,1.0000,53.9524,0.2499,1.3974,1.0000,4417.8838,26.8,68.1,23.0,61.8
2019-06-08,利群(新版)烟丝,012 ,3499.8374,3.9183,3989.4741,17.7135,0.9909,50.4571,0.4372,0.4140,0.8929,60.0559,0.4607,2.1300,1.0000,220.0000,4000.0446,3.5356,4681.6104,16.4669,0.1011,5.0565,1.0000,18.9578,0.0854,3.2890,1.0000,38.5286,0.0845,9.7476,1.0000,79.9135,0.6111,93.6500,54.1427,0.5323,2.5943,100.0000,0.0777,0.1645,9.9725,1.0000,0.0190,99.0000,4100.1415,2.0548,4827.8203,18.7462,0.0603,2.5073,1.0000,73.3326,0.0453,3.1955,0.0073,82.1161,0.1839,3.4154,1.0000,1633.0025,42.0534,33.5899,0.2314,35.0000,0.0000,100.0014,0.2164,1.5381,1.0000,12.0047,0.0780,1.7301,1.0000,55.7494,0.4652,0.0000,0.0536,4400.0361,26.8,67.8,23.0,62.0
