日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2017-09-01,利群(新版)烟丝,001 ,3499.8910,11.8209,3972.0000,17.1770,0.6566,49.5976,0.5976,0.7823,0.9905,59.9751,0.3698,2.6814,1.0000,220.2000,3999.6791,2.8631,4659.0000,16.5695,0.1143,1.2555,0.9999,18.9025,0.1511,1.9802,1.0000,38.1105,0.4651,2.0707,1.0000,79.9805,0.6106,93.1500,55.6817,0.2435,5.9111,100.0000,0.0554,0.0807,20.4277,1.0000,0.0395,138.5000,4100.1023,2.4467,4852.4502,18.7455,0.0572,2.6464,1.0000,72.9199,0.1206,3.1988,0.0077,80.9913,0.3229,3.0875,1.0000,99.9647,0.0821,3.9150,1.0000,12.1549,0.0666,1.7279,1.0000,53.4572,0.2513,2.0460,1.0000,4412.2695,26.9,67.6,24.0,59.7
2017-09-01,利群(新版)烟丝,002 ,3500.2013,4.9546,3963.0000,17.1124,0.7962,49.9848,0.5915,0.5721,0.9569,59.9663,0.3069,3.2222,1.0000,219.7000,3999.9217,2.7858,4668.0000,16.4709,0.1237,1.4262,1.0000,18.8183,0.1265,2.5868,1.0000,38.2300,0.1113,8.2974,1.0000,80.0145,0.6413,93.3500,55.3810,1.4939,1.0306,100.0000,0.0550,0.0658,25.0438,1.0000,0.0140,141.0000,4099.8107,2.4679,4866.6919,18.6977,0.0552,3.0047,1.0000,73.0262,0.1268,3.2079,0.0059,81.3209,0.3141,2.8433,1.0000,99.9923,0.1195,2.7689,1.0000,12.0961,0.0573,2.3504,1.0000,53.9898,0.1923,1.7510,1.0000,4430.8701,27.1,68.5,23.9,60.5
2017-09-01,利群(新版)烟丝,003 ,3500.0794,4.7288,3978.0000,17.2263,0.6921,50.0421,0.3924,0.8138,0.9927,60.0611,0.2892,3.3873,1.0000,220.3000,3999.9814,2.9852,4674.0000,16.2887,0.1205,1.9673,1.0000,19.0389,0.1918,1.3228,1.0000,38.0469,0.2676,3.6781,1.0000,80.0433,0.6461,93.5000,56.0677,0.1340,9.7800,100.0000,0.0550,0.0580,28.4264,1.0000,0.0299,145.9000,4099.7092,2.5128,4851.6211,18.7484,0.0558,2.6995,1.0000,72.9188,0.1420,3.2056,0.0068,81.2975,0.2847,3.1647,1.0000,99.9971,0.1420,2.3407,1.0000,12.1308,0.0497,2.4761,1.0000,54.3742,0.2101,0.9929,0.9986,4414.0430,27.0,67.1,24.1,60.0
2017-09-01,利群(新版)烟丝,004 ,3500.0249,4.3079,3971.0000,17.3533,0.8940,50.2340,0.7139,0.3576,0.8584,59.9367,0.4819,2.0312,1.0000,219.9000,4000.0623,3.1535,4682.0000,16.6040,0.1235,1.0687,0.9993,18.9690,0.2001,1.3840,1.0000,38.2611,0.0969,9.4243,1.0000,80.0855,0.7659,93.6000,53.7725,0.4297,2.9263,100.0000,0.0625,0.0691,23.8280,1.0000,0.0436,134.6000,4100.3205,2.3725,4902.5190,18.8361,0.0705,1.7210,1.0000,73.0184,0.1767,3.2025,0.0063,81.0761,0.2162,4.5080,1.0000,99.9954,0.1076,3.0836,1.0000,12.1989,0.0577,1.7402,1.0000,54.7217,0.2095,0.4427,0.9079,4458.1953,27.1,68.2,24.0,60.1
2017-09-01,利群(新版)烟丝,005 ,3500.5672,4.6252,3961.0000,17.1762,0.8844,50.3465,0.4304,0.5061,0.9355,59.9728,0.3553,2.7891,1.0000,219.6000,4000.0273,2.7685,4669.0000,16.3944,0.1158,1.7429,1.0000,18.9921,0.1465,1.8385,1.0000,38.1896,0.1041,9.0013,1.0000,79.9603,0.4986,93.3500,56.3575,0.1949,6.2284,100.0000,0.0571,0.0784,21.0061,1.0000,0.0252,143.1000,4099.8372,2.8373,4801.3374,18.7099,0.0545,3.0002,1.0000,73.6181,0.3231,3.2018,0.0060,81.2149,0.3931,2.3618,1.0000,99.9742,0.1079,3.0088,1.0000,12.0229,0.0580,2.7395,1.0000,52.0864,0.5466,1.7770,1.0000,4334.4126,27.0,67.5,23.9,60.3
2017-09-01,利群(新版)烟丝,006 ,3499.5055,5.3613,3949.0000,17.2161,0.8254,50.3351,0.6153,0.3602,0.8600,59.8749,0.5183,1.8488,1.0000,218.7000,4000.2512,2.9413,4677.0000,16.4281,0.1230,1.5504,1.0000,19.0272,0.1794,1.4355,1.0000,38.2270,0.0910,10.1623,1.0000,79.9985,0.4292,93.5500,54.7068,0.5084,3.0858,100.0000,0.0619,0.0807,20.3965,1.0000,0.0068,140.1000,4099.8481,2.7105,4859.7412,18.7356,0.0634,2.4420,1.0000,73.4462,0.2459,3.2061,0.0046,81.2149,0.3390,2.7382,1.0000,99.9984,0.1032,3.2244,1.0000,12.0571,0.0550,2.6848,1.0000,53.3826,0.2244,2.4022,1.0000,4383.6040,26.9,67.9,24.0,60.6
2017-09-01,利群(新版)烟丝,007 ,3500.3532,9.7324,3946.0000,17.1336,0.9860,50.3000,0.6534,0.3571,0.8580,59.8776,0.5613,1.7089,1.0000,218.5000,4000.1566,2.9069,4672.0000,16.4484,0.1216,1.5118,1.0000,19.0785,0.1693,1.4203,1.0000,38.1882,0.1046,8.9584,1.0000,80.0492,0.5741,93.4000,55.4836,0.3573,4.2129,100.0000,0.0618,0.0824,19.9805,1.0000,0.0383,136.7000,4099.8084,2.5955,4867.0601,18.6343,0.0540,2.6824,1.0000,73.2948,0.3423,3.2044,0.0055,80.3117,0.3774,2.0418,1.0000,100.0000,0.1155,2.8858,1.0000,11.9364,0.0892,1.6303,1.0000,52.8028,0.2396,3.0569,1.0000,4410.2607,27.1,68.1,24.1,60.2
2017-09-01,利群(新版)烟丝,008 ,3500.3637,4.3155,3964.0000,17.2315,0.7441,50.3322,0.6071,0.3667,0.8643,59.8314,0.6059,1.5577,1.0000,220.4000,3999.9853,2.8425,4682.0000,16.4109,0.1206,1.6282,1.0000,19.0145,0.1931,1.3561,1.0000,38.1447,0.1049,9.0713,1.0000,79.9849,0.6517,93.7000,54.5672,0.6752,2.2548,100.0000,0.0492,0.0634,26.0252,1.0000,0.0644,137.9000,4099.8955,2.4939,4896.5757,18.6416,0.0525,2.8016,1.0000,73.0303,0.3206,3.2046,0.0058,80.6651,0.3048,2.9149,1.0000,100.0212,0.0968,3.3721,1.0000,12.0480,0.0803,1.8760,1.0000,53.7226,0.2181,1.9520,1.0000,4449.0488,27.0,67.9,24.1,59.9
2017-09-01,利群(新版)烟丝,009 ,3500.0600,4.7989,3953.0000,17.1074,0.6843,50.3129,0.6394,0.3582,0.8587,59.8711,0.4833,1.9801,1.0000,219.0000,4000.0612,2.9519,4690.0000,16.2669,0.1178,2.0747,1.0000,19.0605,0.2174,1.1337,0.9997,37.9863,0.1238,8.0429,1.0000,80.0126,0.5026,93.9000,55.7127,0.9027,1.5831,100.0000,0.0552,0.0678,24.3112,1.0000,0.1059,146.1000,4100.0538,2.0971,4876.9214,18.6007,0.0582,2.2951,1.0000,73.0716,0.3077,3.2049,0.0074,80.7974,0.3004,3.1037,1.0000,99.9913,0.0897,3.6854,1.0000,12.0199,0.0699,2.2886,1.0000,54.3467,0.2197,0.9913,0.9985,4431.6978,27.0,67.3,24.0,60.0
2017-09-02,利群(新版)烟丝,010 ,3499.7502,5.3673,3969.0000,17.2961,0.6975,49.5146,0.4808,1.0297,0.9990,59.9227,0.4105,2.3732,1.0000,219.9000,3999.7388,3.2523,4667.0000,16.5129,0.1387,1.1708,0.9998,19.0925,0.1691,1.3946,1.0000,38.3465,0.2344,3.7734,1.0000,79.9709,0.5787,93.3500,55.8118,0.2167,6.4415,100.0000,0.0575,0.0885,18.6055,1.0000,0.0133,135.0000,4099.9887,2.4736,4923.0298,18.7808,0.0671,2.0834,1.0000,73.2145,0.2136,3.2021,0.0067,80.0696,0.3399,2.0294,1.0000,99.9773,0.1144,2.8472,1.0000,12.0800,0.0816,1.7160,1.0000,54.4508,0.2286,0.8007,0.9919,4476.6919,27.0,67.5,24.0,59.8
