日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2019-08-05,利群(新版)烟丝,001 ,3999.9085,5.0333,3976.0793,17.6564,0.7175,60.7248,1.4913,0.5086,0.9302,62.9997,0.5380,1.8585,1.0000,219.3000,4200.0748,3.8025,4493.7485,16.7806,0.1095,3.7123,1.0000,18.6756,0.1073,2.8702,1.0000,37.5915,0.4625,1.8677,1.0000,83.9399,0.4692,88.1000,55.6152,0.5694,1.3962,100.0000,0.0581,0.0870,18.9365,1.0000,0.0298,91.5000,3300.1086,1.4494,4795.1250,18.4011,0.0941,0.7124,0.9837,39.3255,0.0321,600.0305,0.3843,165.8273,0.1794,5.9516,0.0034,2.0703,0.0088,79.7745,2.2602,0.2617,0.7530,0.3370,0.0199,0.0000,74.0900,16.9979,57.0208,2.6952,-19.6184,1.9707,124.8720,0.8540,0.0000,0.0000,100.0031,0.1962,1.6937,1.0000,11.8784,0.0915,1.0143,0.9988,57.5615,2.0042,0.0000,0.1006,4285.3604,26.7,67.9,22.9,62.0
2019-08-06,利群(新版)烟丝,002 ,3999.8127,5.0773,3971.5022,16.8661,0.9003,60.2793,1.4244,0.6367,0.9613,62.9660,0.5103,1.9374,1.0000,218.9000,4199.5496,3.7011,4670.9380,16.4432,0.1223,4.2419,1.0000,18.7281,0.1674,1.7361,1.0000,37.5314,1.1477,0.7352,0.9850,83.9061,0.6288,93.4000,56.2260,0.4419,1.3381,100.0000,0.1260,0.2249,7.2252,1.0000,0.0201,113.4000,3299.8620,1.4831,4802.4604,18.5669,0.0711,1.7209,1.0000,40.3414,0.4812,635.3763,15.0135,176.3736,4.5466,5.9177,0.0153,2.2474,0.0795,81.0335,0.7781,1.2709,0.9999,0.3500,0.0009,0.0000,62.7682,0.1952,58.7599,0.2762,-19.6009,1.7099,123.8163,0.4818,0.0000,0.0000,100.0088,0.2756,1.1989,0.9997,12.0828,0.0577,2.7886,1.0000,59.5896,0.4650,0.0000,0.0000,4310.2363,26.7,67.8,23.0,62.3
2019-08-07,利群(新版)烟丝,003 ,4001.5830,4.8776,3972.7153,16.8753,0.9486,60.5194,1.0271,0.8050,0.9918,63.1656,0.6146,1.5373,1.0000,219.2000,4200.1464,3.4093,4660.0889,16.4625,0.1032,4.9660,1.0000,18.8543,0.1221,2.0351,1.0000,38.5012,0.5008,1.6631,1.0000,83.8971,0.6657,93.3000,54.1285,0.1380,5.1400,100.0000,0.1248,0.2625,6.1902,1.0000,0.1054,109.7000,3300.0348,1.4747,4807.4229,18.5096,0.0828,1.2463,0.9999,39.3853,0.0406,600.0064,0.4912,166.1699,0.1781,5.9342,0.0035,2.0499,0.0042,84.2692,0.5302,0.0000,0.3058,0.3500,0.0010,0.0000,66.1554,0.4941,58.0978,0.4419,-19.6424,1.7697,122.1423,0.8356,0.0000,0.0000,102.6435,2.5550,0.0000,0.1831,12.2891,0.0721,1.4369,1.0000,58.8332,0.3995,0.0000,0.0000,4325.6694,27.0,68.1,23.0,62.0
2019-08-10,利群(新版)烟丝,004 ,3999.8078,5.3987,3966.5273,17.4179,0.8876,60.5284,1.0687,0.7709,0.9891,63.1076,0.5376,1.7936,1.0000,218.8000,4199.4699,4.4996,4659.7222,16.4871,0.1129,4.4659,1.0000,18.7309,0.1478,1.9606,1.0000,38.4470,0.2822,3.0152,1.0000,83.9012,0.6456,93.2000,54.0917,0.1513,4.6092,100.0000,0.1311,0.3026,5.3635,1.0000,0.0060,112.4000,3299.9031,1.7010,4808.5024,18.4617,0.0867,1.0067,0.9987,39.3906,0.0533,600.0000,0.5085,166.5971,0.1952,5.9155,0.0043,2.0738,0.0047,82.6970,0.5186,0.8375,0.9940,0.3500,0.0011,0.0000,65.7327,0.2859,59.1494,0.3170,-19.5648,1.7206,123.7013,0.3528,0.0000,0.0000,99.9943,0.1585,2.0910,1.0000,12.0976,0.0395,4.2006,1.0000,57.6959,1.7081,0.0000,0.0572,4325.7026,27.0,67.5,23.1,62.1
2019-08-10,利群(新版)烟丝,005 ,4000.0290,18.9573,3968.8472,17.4252,0.9191,60.6943,1.2085,0.6360,0.9707,62.9746,0.3843,2.5800,1.0000,218.8000,4200.1220,3.4697,4672.9502,16.4591,0.1191,4.3143,1.0000,18.6541,0.1168,2.6983,1.0000,38.6000,0.2164,3.6975,1.0000,83.8697,0.6386,93.5500,56.0689,0.3159,2.0375,100.0000,0.1330,0.2429,6.6797,1.0000,0.0974,116.0000,3299.9006,1.5137,4824.1245,18.4105,0.0846,0.8298,0.9936,39.7270,0.3032,610.4525,10.0480,169.6555,2.9991,5.9088,0.0094,2.1358,0.0558,83.7875,0.6741,0.1051,0.6237,0.3501,0.0009,0.0000,65.8480,0.2364,59.7845,0.2791,-19.5613,1.6461,122.3608,0.2819,0.0000,0.0000,100.0018,0.1769,1.8815,1.0000,12.0879,0.0440,3.6937,1.0000,58.9176,0.2859,0.0000,0.0000,4334.5679,26.8,67.8,23.0,61.9
2019-08-11,利群(新版)烟丝,006 ,3999.1801,5.2261,3970.3884,17.4147,0.9369,60.4480,1.2206,0.6969,0.9794,63.0313,0.3622,2.7319,1.0000,219.0000,4199.9205,3.7133,4642.0620,16.4840,0.1004,5.0310,1.0000,18.7127,0.1491,1.9843,1.0000,38.9969,0.5694,1.1727,0.9998,83.9452,0.4514,92.9000,55.1650,0.5224,1.8091,100.0000,0.1280,0.2125,7.6418,1.0000,0.0633,115.5000,3299.9650,1.5131,4780.0288,18.4663,0.0775,1.1451,0.9997,39.4057,0.0601,600.0275,0.5634,166.6739,0.1831,5.9125,0.0025,2.0613,0.0044,84.7523,0.4437,0.0000,0.0450,0.3501,0.0010,0.0000,66.6584,0.3900,58.5804,0.3543,-19.5453,1.5990,123.2107,0.1953,0.0000,0.0000,100.0005,0.1489,2.2376,1.0000,12.0943,0.0304,5.4164,1.0000,58.4050,0.8295,0.0000,0.0000,4300.9141,26.9,67.7,23.0,62.1
2019-08-11,利群(新版)烟丝,007 ,4000.4913,5.0055,3961.7654,17.2294,0.9246,60.6609,1.4828,0.5258,0.9359,62.9418,0.6268,1.5645,1.0000,218.3000,4199.4311,3.6902,4669.0400,16.4343,0.1069,4.8801,1.0000,18.7465,0.0995,2.8589,1.0000,38.5384,0.0433,18.9550,1.0000,83.9589,0.6804,93.3500,56.7696,0.6555,0.6257,100.0000,0.0618,0.1487,11.0661,1.0000,0.0330,112.8000,3299.9141,1.7239,4794.9731,18.4683,0.0789,1.1330,0.9997,39.7062,0.0420,610.0542,0.5174,169.2855,0.1796,5.9196,0.0036,2.1333,0.0043,85.3585,0.4073,0.0000,0.0004,0.3344,0.0149,0.0000,64.5990,1.5167,58.9794,0.3990,-19.5812,1.6976,123.0076,0.3025,0.0000,0.0000,100.0073,0.1459,2.2680,1.0000,12.0893,0.0322,5.0676,1.0000,58.5307,1.3287,0.0000,0.0039,4300.8315,26.7,67.8,23.2,61.8
2019-08-12,利群(新版)烟丝,008 ,4000.2787,5.6345,3972.7644,17.4432,0.8316,60.9167,1.2247,0.5670,0.9548,63.0134,0.3617,2.7524,1.0000,219.4000,4199.5844,3.8975,4653.3535,16.6220,0.1170,3.9270,1.0000,18.7400,0.0824,3.4784,1.0000,38.4154,0.3485,2.4718,1.0000,83.9369,0.4656,93.0500,54.5150,0.4562,1.8375,100.0000,0.1411,0.2584,6.2675,1.0000,0.0183,103.3000,3299.9890,1.3872,4797.5366,18.5289,0.0767,2.0463,1.0000,38.9512,0.2945,585.6178,8.9972,162.3203,2.7337,5.9273,0.0106,1.9690,0.0480,84.3425,0.3975,2.2287,1.0000,0.3309,0.0143,0.0000,64.7732,1.9556,59.2614,0.5996,-19.6118,1.6532,123.0270,0.2718,3.6464,100.0000,100.0026,0.1483,2.2420,1.0000,12.0849,0.0340,4.7559,1.0000,59.7539,0.3443,0.0000,0.2374,4303.8384,26.8,67.6,22.8,62.1
2019-08-13,利群(新版)烟丝,009 ,4000.5038,10.9001,3974.8059,17.4928,0.7940,60.6235,1.1351,0.6979,0.9812,63.0638,0.4911,1.9931,1.0000,219.3000,4200.0870,3.5703,4652.5688,16.2720,0.1225,4.7027,1.0000,18.7026,0.5440,0.5499,0.9292,37.4432,1.1096,0.7340,0.9855,83.8938,0.4824,93.0500,54.7042,0.3905,2.3086,100.0000,0.1062,0.2585,6.3102,1.0000,0.0015,120.6000,3299.9189,1.4451,4813.5488,18.5576,0.0811,1.8182,1.0000,39.3541,0.0540,599.8237,0.4827,166.3226,0.1909,5.9241,0.0046,2.0484,0.0042,83.7997,0.6612,1.4114,1.0000,0.3500,0.0009,0.0000,67.8625,0.3212,57.8662,0.3217,-19.5753,1.5705,124.5125,0.2739,1.8099,100.0000,100.0045,0.1824,1.8197,1.0000,12.0905,0.0525,3.1133,1.0000,57.4162,2.5116,0.3207,0.7552,4324.7954,27.0,67.7,23.1,61.6
2019-08-14,利群(新版)烟丝,010 ,4001.1712,13.2639,3970.3115,17.5336,0.8540,60.2850,1.7928,0.5048,0.9016,62.9666,0.5917,1.6713,1.0000,217.3000,4200.1927,3.4068,4657.8682,16.4198,0.1262,4.1728,1.0000,18.6557,0.1399,2.2499,1.0000,38.0493,0.4296,2.2897,1.0000,83.9361,0.4954,93.1500,54.8694,0.6109,1.5655,100.0000,0.0557,0.1080,15.2572,1.0000,0.0079,114.4000,3299.9362,1.5597,4779.5625,18.3274,0.0700,1.5583,1.0000,39.3213,0.0372,600.1096,0.4670,166.1723,0.1823,5.9330,0.0039,2.0267,0.0041,86.4325,0.3670,0.5154,0.9390,0.3499,0.0009,0.0000,69.6517,0.3452,56.8507,0.3250,-19.6687,1.4323,121.2461,0.5141,0.8080,100.0000,100.0015,0.1771,1.8796,1.0000,12.0734,0.0673,2.3463,1.0000,59.1466,0.2864,2.1572,1.0000,4311.6187,27.1,67.9,23.0,62.2
