日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,润叶加料贮叶时间,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2020-05-05,利群(新版)烟丝,011 ,3999.7450,4.7724,3949.0000,18.1699,0.7453,59.5654,0.6269,1.3641,1.0000,63.1038,0.2878,3.3544,1.0000,237.7000,4200.6558,4.3939,4702.0381,17.1258,0.1123,2.5948,1.0000,19.0846,0.0865,3.5276,1.0000,38.2894,0.2183,4.1390,1.0000,84.0415,0.3200,94.1000,56.7360,0.3206,1.3142,100.0000,0.0667,0.1338,12.2902,1.0000,0.0630,68.9000,1101,3999.9773,1.9909,4806.9097,18.6002,0.0578,2.3057,1.0000,37.3683,0.0222,459.9583,0.3098,145.5243,0.1431,5.0119,0.0050,1.4684,0.0023,82.6814,0.2469,3.6201,1.0000,0.3198,0.0011,0.0000,65.6357,0.2017,65.3897,0.5074,-20.5446,0.6987,133.0551,0.0410,23.9423,100.0000,100.0386,0.9938,0.3225,0.6853,12.2481,0.0691,2.1799,1.0000,61.7755,0.5112,1.4505,1.0000,4330.0000,27.8,67.9,22.9,60.2
2020-05-05,利群(新版)烟丝,012 ,3999.8141,4.3154,3949.0000,18.1765,0.8416,59.4474,0.5585,1.4607,1.0000,63.0018,0.3054,3.2724,1.0000,237.7000,4200.5311,4.0363,4700.5015,17.0752,0.1205,2.5582,1.0000,19.1288,0.0816,3.5588,1.0000,38.3770,0.0672,13.0109,1.0000,83.9932,0.2523,94.0000,55.6226,0.5108,1.5514,100.0000,0.0596,0.0764,21.5550,1.0000,0.0107,74.6000,1113,3999.8572,2.3120,4758.1191,18.7027,0.0510,1.9431,1.0000,37.4514,0.0188,460.0304,0.3044,145.3232,0.1275,5.0216,0.0040,1.4802,0.0020,82.9125,0.3127,3.1047,1.0000,0.3198,0.0011,0.0000,65.7899,0.1427,65.4180,0.9331,-20.3625,0.8221,133.2081,0.0488,19.0704,100.0000,100.0063,0.4781,0.6928,0.9635,12.2251,0.0823,1.9235,1.0000,62.3159,0.3928,1.4291,1.0000,4287.0000,27.9,67.9,23.0,60.2
2020-05-05,利群(新版)烟丝,013 ,3999.9910,3.6477,3948.0000,18.1639,0.7803,59.3746,0.5774,1.3709,1.0000,63.0539,0.2837,3.4615,1.0000,237.6000,4199.8439,3.5481,4701.9531,17.0984,0.1069,2.8114,1.0000,19.1307,0.0825,3.5123,1.0000,38.3470,0.0803,11.0129,1.0000,84.0381,0.2257,94.0500,54.8049,0.1018,9.1843,100.0000,0.0880,0.1386,11.8134,1.0000,0.0116,74.9000,1138,3999.8537,2.2073,4852.7915,18.5660,0.0547,2.6447,1.0000,37.4657,0.0190,459.9884,0.3007,145.2736,0.1116,5.0231,0.0036,1.4808,0.0018,83.1075,0.2575,3.7443,1.0000,0.3197,0.0011,0.0000,65.7636,0.1317,65.4388,0.6860,-20.2845,0.7507,133.0834,0.2854,3.4064,100.0000,100.0129,0.2558,1.2863,0.9999,12.2058,0.0763,2.1590,1.0000,62.4827,0.3484,1.4517,1.0000,4372.0000,28.1,68.1,23.0,60.0
2020-05-05,利群(新版)烟丝,014 ,3999.7944,3.3832,3946.0000,18.1254,0.7358,59.1636,0.6840,1.0544,0.9992,62.9329,0.2101,4.6532,1.0000,237.4000,4199.6402,3.5851,4698.0708,17.0101,0.1144,2.8843,1.0000,19.1889,0.0805,3.3586,1.0000,38.1840,0.0617,15.2134,1.0000,83.9842,0.1836,94.0000,54.2678,0.1067,7.0847,100.0000,0.0895,0.1051,15.5741,1.0000,0.0411,80.7000,1165,3999.9735,1.9216,4797.5830,18.5922,0.0568,2.3932,1.0000,37.4423,0.0202,460.0387,0.3376,145.4253,0.1220,5.0176,0.0033,1.4687,0.0025,82.5818,0.1514,5.6843,1.0000,0.3201,0.0009,0.0000,64.6817,0.1696,64.7767,0.1380,-19.9974,0.4546,132.6727,0.0160,55.6812,100.0000,100.0890,0.2209,1.3747,1.0000,12.2292,0.1798,0.8728,0.9940,61.9830,1.7294,0.3888,0.8676,4322.0000,28.1,67.9,23.0,60.3
2020-05-05,利群(新版)烟丝,015 ,3999.8944,4.0168,3949.0000,18.0570,0.7157,59.0620,0.5482,1.2538,0.9999,62.8793,0.3026,3.1717,1.0000,237.3000,4200.2664,3.9631,4699.7334,16.9857,0.1066,3.1717,1.0000,19.1650,0.0852,3.2668,1.0000,38.1629,0.0534,17.7097,1.0000,84.0038,0.1004,94.0500,55.1683,0.3518,2.6831,100.0000,0.0914,0.1265,12.9344,1.0000,0.0589,81.6000,1200,4000.1189,2.1704,4803.4395,18.6470,0.0516,2.2804,1.0000,37.3720,0.0180,460.0156,0.2721,144.8541,0.1041,5.0437,0.0030,1.4733,0.0027,82.8456,0.3796,2.4988,1.0000,0.3201,0.0011,0.0000,64.5741,0.7603,65.4258,0.7346,-20.2989,0.7159,133.8743,0.7014,1.0102,100.0000,100.0056,0.2714,1.2213,0.9998,12.1696,0.0842,1.8591,1.0000,62.8148,0.4320,0.9145,0.9970,4314.0000,28.1,68.0,22.9,60.2
2020-05-06,利群(新版)烟丝,016 ,4000.0869,3.9470,3945.0000,18.1746,0.7466,59.1022,0.9992,0.7013,0.9823,62.6661,0.6984,1.2725,0.9999,237.5000,4200.2000,4.7849,4686.8042,17.3975,0.1189,1.6891,1.0000,19.1803,0.1254,2.1789,1.0000,37.7515,0.5462,1.6792,1.0000,83.9994,0.3606,93.8000,55.3896,0.2325,3.7425,100.0000,0.0571,0.0837,19.6850,1.0000,0.0682,54.3000,373,3999.9917,1.9851,4803.7666,18.6383,0.0545,2.2122,1.0000,37.3872,0.0168,459.9911,0.2830,144.9186,0.1167,5.0406,0.0026,1.4745,0.0021,83.0035,0.2798,3.5698,1.0000,0.3201,0.0011,0.0000,65.1418,0.7703,65.3152,0.8998,-20.3205,0.7771,131.9892,0.6556,1.0114,100.0000,100.0004,0.2712,1.2286,0.9998,12.2783,0.1202,1.1694,0.9998,62.4889,0.2854,1.7649,1.0000,4333.0000,27.4,67.8,23.0,60.3
2020-05-06,利群(新版)烟丝,017 ,4000.3172,4.1416,3947.0000,18.1640,0.8079,58.9728,0.8426,0.7804,0.9904,62.5939,0.3804,2.2730,1.0000,237.5000,4199.8537,4.0819,4703.3643,17.3559,0.1069,2.0084,1.0000,19.2221,0.0903,2.8715,1.0000,38.3109,0.3194,2.8064,1.0000,84.0811,0.5685,94.0500,53.1319,0.7348,0.5135,100.0000,0.0959,0.1773,9.2200,1.0000,0.0184,58.1000,393,3999.8909,1.9373,4804.0181,18.6359,0.0566,2.1443,1.0000,37.3896,0.0173,459.9961,0.2889,145.1189,0.1183,5.0321,0.0029,1.4687,0.0024,82.0657,0.1885,3.6529,1.0000,0.3200,0.0010,0.0000,65.0157,0.4507,65.1880,0.8352,-20.3222,0.7270,132.2880,0.8292,0.9198,100.0000,100.0040,0.3195,1.0391,0.9982,12.2502,0.1075,1.3947,1.0000,62.3898,0.2386,2.2495,1.0000,4330.0000,27.6,67.5,22.9,60.5
2020-05-06,利群(新版)烟丝,018 ,3999.8574,3.5424,3948.0000,18.0474,0.7207,59.0576,0.9291,0.7382,0.9866,62.5904,0.4505,1.9167,1.0000,237.5000,4199.9221,4.3299,4701.5415,17.3311,0.1024,2.1774,1.0000,19.1322,0.0860,3.3636,1.0000,39.1916,0.0713,8.4544,1.0000,83.9730,0.3611,94.1500,54.7747,0.1116,8.2876,100.0000,0.0477,0.0713,23.1524,1.0000,0.1267,60.3000,415,3999.8780,2.0831,4793.2808,18.5599,0.0494,2.9696,1.0000,37.3940,0.0197,460.0217,0.3156,145.2844,0.1123,5.0252,0.0024,1.4699,0.0020,82.1792,0.3244,2.2392,1.0000,0.3198,0.0010,0.0000,65.9993,0.1106,65.1087,0.7355,-20.2677,0.7797,131.6522,0.5662,0.9727,100.0000,99.9948,0.2618,1.2666,0.9999,12.2292,0.1020,1.5386,1.0000,62.3185,0.3310,1.6934,1.0000,4329.0000,27.8,67.7,22.9,60.5
2020-05-06,利群(新版)烟丝,019 ,3999.8439,4.0430,3950.0000,18.0239,0.7430,58.8820,1.0018,0.6262,0.9698,62.7668,0.8144,1.1324,0.9996,237.8000,4199.4049,4.1191,4702.6528,17.2716,0.0998,2.4329,1.0000,19.1452,0.0738,3.8609,1.0000,39.5119,0.0797,6.2238,1.0000,84.0274,0.1868,94.1000,54.5711,0.3960,2.1642,100.0000,0.0739,0.0948,17.3210,1.0000,0.0499,62.4000,420,4000.1758,1.7371,4815.0747,18.5862,0.0509,2.7099,1.0000,37.3898,0.0180,459.9884,0.2926,145.2517,0.1105,5.0262,0.0024,1.4704,0.0020,82.9795,0.2571,3.8630,1.0000,0.3201,0.0014,0.0000,64.5543,0.8277,65.4360,0.6713,-20.2617,0.7428,133.0787,0.4396,2.2151,100.0000,99.9979,0.3037,1.0953,0.9990,12.1431,0.0943,1.5663,1.0000,62.6743,0.3364,1.3136,1.0000,4344.0000,27.9,67.9,23.0,60.5
2020-05-06,利群(新版)烟丝,020 ,3999.8702,4.5092,3947.0000,18.2093,0.7330,58.9850,0.9728,0.6802,0.9793,62.5268,0.4660,1.8074,1.0000,237.7000,4199.5675,3.8076,4700.7915,17.3441,0.1133,1.9297,1.0000,19.1380,0.0828,3.4702,1.0000,38.8443,0.0657,10.9371,1.0000,84.0230,0.2076,94.1000,55.6820,0.8378,0.9223,100.0000,0.0668,0.0855,19.2327,1.0000,0.0895,53.1000,950,3999.9758,1.8290,4818.8813,18.4942,0.0570,2.8901,1.0000,37.4152,0.0222,460.0181,0.2552,145.0615,0.0940,5.0342,0.0025,1.4655,0.0022,83.0313,0.3927,2.5199,1.0000,0.3202,0.0015,0.0000,65.5594,0.5085,64.8622,0.7483,-20.2683,0.7163,134.7544,1.3122,0.3164,100.0000,99.9784,0.6724,0.4850,0.8628,12.1341,0.1154,1.2539,0.9999,61.8131,0.6787,1.0741,0.9994,4318.0000,27.9,68.3,22.8,60.5
