日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2017-07-01,利群(新版)烟丝,001 ,3499.7960,4.9133,3964.5056,16.9568,0.7264,50.4905,0.6420,0.2646,0.7863,59.9545,0.4617,2.1329,1.0000,218.4000,4000.1930,2.8602,4668.9380,16.4545,0.1267,4.0647,1.0000,19.0264,0.1846,1.3966,1.0000,37.8758,0.4424,2.1668,1.0000,80.0344,0.4707,93.4000,55.6614,0.4253,3.4003,100.0000,0.0767,0.0844,19.4484,1.0000,0.0227,114.6000,4100.0589,3.4351,4809.1675,18.7174,0.0659,2.4416,1.0000,72.3538,0.1951,3.2047,0.0073,80.9750,0.3977,2.4937,1.0000,100.0047,0.1049,3.1636,1.0000,12.2570,0.0556,1.4561,1.0000,54.9391,0.2678,0.0758,0.5899,4404.1147,27.0,68.5,24.1,60.4
2017-07-01,利群(新版)烟丝,002 ,3499.9845,4.9044,3951.6499,17.1734,0.7774,50.9594,0.4896,0.0276,0.5331,59.9892,0.2492,3.9987,1.0000,218.1000,4000.1646,2.8652,4675.9609,16.4605,0.1199,4.2783,1.0000,19.0289,0.1736,1.4802,1.0000,38.1259,0.1312,7.2997,1.0000,79.9236,0.6199,93.5500,55.0704,0.4432,3.7075,100.0000,0.0657,0.0739,22.2575,1.0000,0.0329,119.8000,4100.1000,3.3142,4834.6094,18.8275,0.0553,2.2462,1.0000,72.0438,0.2142,3.2043,0.0088,81.1591,0.3750,2.5252,1.0000,99.9680,0.0953,3.3842,1.0000,12.3435,0.0479,1.0887,0.9995,55.4320,0.1995,0.0000,0.0152,4416.7822,27.0,67.5,24.2,60.2
2017-07-01,利群(新版)烟丝,003 ,3500.2718,5.0929,3952.0520,17.2198,0.8063,51.0594,0.4125,0.0000,0.4428,60.0156,0.2260,4.4017,1.0000,217.8000,3999.7953,3.1738,4676.7241,16.4968,0.1181,4.2437,1.0000,19.0247,0.1738,1.4872,1.0000,38.0545,0.1063,9.2391,1.0000,79.9859,0.4079,93.5500,55.4991,0.6021,2.4919,100.0000,0.0780,0.0707,23.1905,1.0000,0.0166,119.1000,4099.9280,3.2594,4904.2822,18.8461,0.0516,2.2848,1.0000,72.1480,0.2047,3.2044,0.0081,81.3530,0.2636,3.3477,1.0000,99.9831,0.0984,3.3315,1.0000,12.3931,0.0622,0.5729,0.9572,55.3915,0.1967,0.0000,0.0233,4481.0518,26.9,67.5,24.1,59.8
2017-07-01,利群(新版)烟丝,004 ,3499.6078,4.6464,3949.3381,16.8833,0.6507,51.0843,0.6571,0.0000,0.4490,59.8950,0.4763,2.0260,1.0000,217.6000,3999.8608,3.0199,4675.0674,16.4135,0.1323,3.9961,1.0000,19.0257,0.2026,1.2741,0.9999,38.0635,0.1097,8.9221,1.0000,79.9312,0.7239,93.4500,54.4846,0.6974,2.1436,100.0000,0.0637,0.0796,20.6778,1.0000,0.0549,122.4000,4099.9377,3.2667,4833.5703,18.8724,0.0702,1.5553,1.0000,72.2854,0.1854,3.2006,0.0061,81.6850,0.3818,2.0214,1.0000,100.0077,0.1042,3.1753,1.0000,12.3265,0.0747,0.7739,0.9899,54.0784,0.3465,0.8866,0.9961,4413.6284,27.1,68.5,24.1,60.2
2017-07-01,利群(新版)烟丝,005 ,3499.6145,4.6961,3950.8408,16.8754,0.8469,51.1878,0.4508,0.0000,0.3385,60.0189,0.2852,3.4848,1.0000,219.2000,3999.9715,2.7849,4681.5654,16.5177,0.1173,4.2133,1.0000,19.1747,0.1439,1.4488,1.0000,38.2238,0.1168,7.9256,1.0000,79.9713,1.0201,93.6500,54.5100,0.4869,3.0877,100.0000,0.0723,0.0971,16.9120,1.0000,0.0200,115.8000,4099.7763,3.1422,4873.8774,18.7225,0.0637,2.4968,1.0000,72.2756,0.1125,3.2063,0.0073,81.9374,0.2255,3.0495,1.0000,99.9879,0.0998,3.3002,1.0000,12.2834,0.0615,1.1748,0.9998,54.6365,0.2089,0.5801,0.9591,4450.0146,27.0,68.6,23.9,60.1
2017-07-02,利群(新版)烟丝,006 ,3499.7523,4.0930,3933.1943,17.0357,0.7552,51.0669,0.6711,0.0000,0.4603,59.9897,0.4533,2.1987,1.0000,218.2000,4000.2419,3.0189,4668.2017,16.3968,0.1283,4.1650,1.0000,18.8327,0.1812,1.7796,1.0000,37.7275,0.3666,2.4798,1.0000,79.9259,0.7815,93.3500,55.6642,0.1711,8.4470,100.0000,0.0581,0.0766,21.4993,1.0000,0.0150,118.7000,4100.3977,3.6026,4795.7124,18.6309,0.0519,2.7689,1.0000,72.1049,0.1255,3.2046,0.0088,81.1964,0.3154,2.9626,1.0000,99.9753,0.0929,3.5000,1.0000,12.3119,0.0692,0.9065,0.9967,55.9416,0.1993,0.0000,0.0000,4389.9858,27.0,67.8,24.1,60.2
2017-07-02,利群(新版)烟丝,007 ,3499.6693,4.8505,3941.9138,17.0449,0.8592,51.2849,0.5489,0.0000,0.3019,59.9883,0.2677,3.7207,1.0000,218.5000,3999.9736,3.1318,4669.4761,16.4272,0.1076,4.8713,1.0000,18.7149,0.1791,1.7028,1.0000,37.5186,0.1348,6.2273,1.0000,79.9683,0.4902,93.4000,54.5071,0.9657,1.5557,100.0000,0.0381,0.0485,34.0766,1.0000,0.0112,118.3000,4099.9832,2.8650,4883.0557,18.6641,0.0483,3.2036,1.0000,72.0763,0.2064,3.2048,0.0082,81.6126,0.2156,3.6910,1.0000,99.9751,0.1079,3.0113,1.0000,12.3181,0.0629,0.9641,0.9981,56.1718,0.1944,0.0000,0.0000,4469.8550,27.0,67.4,24.0,60.2
2017-07-02,利群(新版)烟丝,008 ,3499.7298,4.8698,3929.2029,16.8921,0.5774,51.2994,0.5211,0.0000,0.2828,59.9692,0.2658,3.7238,1.0000,217.5000,4000.0395,2.9608,4671.8296,16.4248,0.1050,4.9995,1.0000,18.8117,0.3564,0.9242,0.9950,37.7867,0.2501,3.7144,1.0000,79.9947,0.3776,93.5500,56.9725,0.2042,4.9409,100.0000,0.0415,0.0436,37.8701,1.0000,0.1214,117.2000,4099.7915,3.6981,4804.1987,18.6818,0.0606,2.6515,1.0000,72.2264,0.1484,3.2070,0.0049,81.8095,0.2390,3.0546,1.0000,100.0267,0.1051,3.0858,1.0000,12.2430,0.0687,1.2468,0.9999,54.4512,0.4756,0.3847,0.8758,4393.1650,27.0,68.3,24.0,60.1
2017-07-02,利群(新版)烟丝,009 ,3499.6727,5.2615,3956.1721,16.7957,0.9528,51.4616,0.5731,0.0000,0.2103,59.9370,0.4609,2.1242,1.0000,219.9000,3999.7628,3.3692,4677.6548,16.4050,0.1151,4.6205,1.0000,18.8389,0.2078,1.5414,1.0000,38.0925,0.1416,6.8426,1.0000,80.0170,0.7003,93.5500,54.2840,0.5042,2.8323,100.0000,0.0443,0.0641,25.7743,1.0000,0.0033,118.3000,4100.4523,3.9066,4904.2354,18.6262,0.0555,2.5618,1.0000,72.3502,0.2499,3.2040,0.0075,82.0678,0.2449,2.6298,1.0000,99.9861,0.1012,3.2476,1.0000,12.2025,0.0709,1.3983,1.0000,54.9959,0.1797,0.0076,0.5091,4477.1074,27.0,68.2,23.9,60.1
2017-07-03,利群(新版)烟丝,010 ,3500.6347,4.7284,3971.4194,16.8207,0.7811,51.0636,0.4428,0.0000,0.4429,60.2189,0.6786,1.3661,1.0000,219.6000,3999.6430,2.2445,4660.8452,16.3737,0.1140,4.7547,1.0000,18.9600,0.2608,1.0738,0.9994,38.1673,0.4942,1.9105,1.0000,80.0266,0.5727,93.2500,55.8799,0.1651,8.3191,100.0000,0.0520,0.0650,25.3835,1.0000,0.0355,117.8000,4100.4092,3.1573,4810.3525,18.6394,0.0498,2.9390,1.0000,72.4535,0.1485,3.2029,0.0089,82.3189,0.3256,1.7208,1.0000,99.9375,0.6589,0.4743,0.8692,12.1916,0.1679,0.6123,0.9669,55.6371,0.1953,0.0000,0.0006,4390.9194,27.1,67.7,23.9,59.6
