日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2019-02-18,利群(新版)烟丝,011 ,3500.3057,3.2181,3994.6677,18.5178,0.7410,47.6873,0.5870,1.5261,1.0000,60.0193,0.3620,2.7443,1.0000,220.3000,4000.6838,3.8105,4708.7266,17.1842,0.0908,2.9950,1.0000,19.0942,0.1350,1.7428,1.0000,38.1458,0.5037,1.8887,1.0000,79.9999,0.5410,94.2000,54.9654,0.2322,7.1287,100.0000,0.0770,0.1334,12.3027,1.0000,0.0270,57.6000,4099.8206,2.2386,4850.5132,18.6492,0.0532,2.8140,1.0000,73.0882,0.0356,3.2033,0.0036,81.8993,0.1892,3.7007,1.0000,1641.1001,38.4333,99.9931,0.2289,1.4462,1.0000,12.0077,0.0647,2.1018,1.0000,49.4409,0.1782,0.8248,0.9933,4445.1455,26.9,68.0,22.8,55.7
2019-02-18,利群(新版)烟丝,012 ,3500.0756,3.6475,3994.5515,18.6584,0.9571,47.9852,0.5657,1.7590,1.0000,59.9574,0.3997,2.4662,1.0000,220.3000,3999.8808,3.4921,4719.0210,17.2253,0.1025,2.5185,1.0000,19.0646,0.0847,2.8929,1.0000,38.2511,0.2122,4.3180,1.0000,79.8706,0.8087,94.4500,55.3429,0.7034,2.2068,100.0000,0.1055,0.2526,6.4590,1.0000,0.0737,53.2000,4099.8414,2.2171,4769.9277,18.6338,0.0451,3.2045,1.0000,73.5016,0.0770,3.2071,0.0059,81.9346,0.4553,1.5122,1.0000,1651.3272,32.5985,100.0082,0.2048,1.6145,1.0000,12.0147,0.0471,2.9359,1.0000,48.0343,0.4166,0.0000,0.0102,4359.3481,26.7,67.0,22.9,56.0
2019-02-18,利群(新版)烟丝,013 ,3500.2294,4.0163,3997.2542,18.6166,0.7350,47.8908,0.6534,1.4746,1.0000,60.0109,0.2703,3.6856,1.0000,220.5000,4000.4763,3.7852,4725.3613,17.1427,0.1142,2.5025,1.0000,19.0677,0.0798,3.0596,1.0000,37.8531,0.1283,7.4147,1.0000,79.9366,0.5481,94.5500,55.4114,0.1343,11.3902,100.0000,0.0788,0.1666,9.8445,1.0000,0.0453,58.9000,4100.0423,1.8300,4824.1636,18.5750,0.0479,2.6093,1.0000,73.2689,0.0226,3.1966,0.0041,82.3011,0.2476,2.2871,1.0000,1642.9685,37.9009,99.9992,0.2440,1.3649,1.0000,11.8758,0.0696,1.3215,1.0000,48.9154,0.2279,0.0000,0.3552,4407.9390,26.7,68.2,23.0,55.7
2019-02-18,利群(新版)烟丝,014 ,3499.9169,3.7000,3993.7117,18.6702,0.6745,47.8214,0.7329,1.2833,0.9999,59.8788,0.4180,2.2955,1.0000,220.3000,4000.0269,3.9109,4712.4385,17.1708,0.1111,2.4875,1.0000,19.1045,0.0760,3.0511,1.0000,37.9034,0.1205,8.0310,1.0000,79.8786,0.7472,94.2500,56.1199,0.3113,4.1554,100.0000,0.0990,0.2264,7.2169,1.0000,0.0013,56.4000,4099.8220,2.1422,4876.8940,18.6995,0.0550,3.0249,1.0000,73.2082,0.0383,3.1980,0.0052,82.1550,0.2501,2.4589,1.0000,1637.4473,39.1724,99.9965,0.2136,1.5548,1.0000,12.0202,0.0568,2.4662,1.0000,49.2854,0.2235,0.4257,0.8992,4469.0410,27.1,67.9,23.1,56.0
2019-02-18,利群(新版)烟丝,015 ,3499.9373,3.8694,3997.5540,18.5857,0.7008,47.9263,0.7281,1.3396,1.0000,59.8616,0.5223,1.8262,1.0000,220.5000,3999.5354,3.9686,4707.1582,17.0300,0.1003,3.2229,1.0000,19.1267,0.0926,2.4233,1.0000,37.8026,0.3793,2.4627,1.0000,79.8627,0.8428,94.2000,55.0553,0.6063,2.7184,100.0000,0.0984,0.2308,7.0798,1.0000,0.0604,63.4000,4100.0399,1.7786,4764.1123,18.7552,0.0514,2.8841,1.0000,73.2452,0.0241,3.1948,0.0045,82.5524,0.2719,1.7749,1.0000,1610.4606,29.5253,100.0097,0.1666,1.9811,1.0000,11.8469,0.0946,0.8702,0.9955,50.1277,0.2605,1.4432,1.0000,4355.5786,26.8,67.1,23.3,55.8
2019-02-19,利群(新版)烟丝,016 ,3499.8945,3.4282,3993.8320,18.5870,0.6221,48.4195,0.7823,1.0996,0.9995,59.8275,0.7582,1.2431,0.9999,220.2000,3999.7679,3.8582,4695.7080,17.2404,0.1059,2.3910,1.0000,19.0602,0.0840,2.9350,1.0000,37.9382,0.2831,3.4600,1.0000,79.8664,0.6844,94.0000,55.4399,0.3294,4.6145,100.0000,0.0876,0.1848,8.8594,1.0000,0.0914,49.0000,4099.8577,1.9535,4806.5967,18.6759,0.0523,3.0312,1.0000,73.1922,0.0069,3.1994,0.0073,82.8571,0.2204,1.7288,1.0000,1608.6359,26.8315,99.9914,0.1585,2.0845,1.0000,11.8580,0.1415,0.6079,0.9659,50.0098,0.2077,1.6208,1.0000,4393.5244,26.4,68.1,23.5,56.2
2019-02-19,利群(新版)烟丝,017 ,3500.2308,3.9839,3994.7913,18.6186,0.8174,48.4502,0.7771,1.0937,0.9995,60.1421,0.5691,1.6739,1.0000,220.4000,4000.1841,3.8099,4710.7163,17.0813,0.1269,2.4136,1.0000,19.0683,0.0733,3.3258,1.0000,38.1018,0.1690,5.7166,1.0000,79.8415,0.9156,94.3000,53.9869,0.3156,4.2116,100.0000,0.0878,0.1711,9.5724,1.0000,0.0909,58.4000,4099.7470,2.1735,4904.3657,18.5944,0.0713,1.8448,1.0000,73.1547,0.0253,3.2001,0.0051,81.9424,0.2473,2.7735,1.0000,1612.1545,31.0619,99.9855,0.2005,1.6383,1.0000,11.8847,0.0947,1.0024,0.9987,49.9027,0.1934,1.5562,1.0000,4497.4028,27.0,67.4,23.5,55.9
2019-02-19,利群(新版)烟丝,018 ,3499.8761,3.9261,3997.5867,18.7858,0.7966,48.7149,0.7201,1.0578,0.9992,59.9969,0.3491,2.8612,1.0000,220.5000,4000.5705,3.7501,4729.1313,17.1489,0.1180,2.4036,1.0000,19.1230,0.0896,2.5176,1.0000,37.8817,0.1726,5.5652,1.0000,79.9443,0.5243,94.6000,54.9358,1.1744,1.4009,100.0000,0.0961,0.2261,7.2292,1.0000,0.0184,57.0000,4099.8792,2.8772,4816.6367,18.7422,0.0478,3.1947,1.0000,73.1739,0.0000,3.2000,0.0029,80.8570,0.3525,2.7016,1.0000,1603.5454,28.6113,100.0093,0.1805,1.8293,1.0000,11.9438,0.0789,1.4526,1.0000,49.9615,0.2150,1.4906,1.0000,4403.5059,26.8,67.8,23.5,55.9
2019-02-19,利群(新版)烟丝,019 ,3500.1044,4.4978,3997.0916,18.6662,0.7887,48.8900,0.5993,1.1737,0.9998,59.9828,0.3191,3.1163,1.0000,220.3000,4000.2313,3.9086,4708.8491,17.0735,0.1125,2.7458,1.0000,19.0950,0.0874,2.6886,1.0000,38.1086,0.1177,8.1883,1.0000,79.9365,0.4828,94.2500,54.0903,0.3695,3.6895,100.0000,0.0694,0.1394,11.7913,1.0000,0.0775,61.7000,4099.9116,2.8741,4777.7471,18.6709,0.0649,2.4191,1.0000,73.6189,0.0970,3.1996,0.0077,81.0608,0.3461,2.8308,1.0000,1599.9773,39.2471,100.0164,0.3178,1.0316,0.9983,12.0130,0.0642,2.1454,1.0000,48.8159,0.3791,0.0000,0.3136,4370.2471,26.8,67.9,23.4,55.9
2019-02-19,利群(新版)烟丝,020 ,3500.2205,4.5257,3992.1699,18.6427,0.7224,48.8986,0.6661,1.0516,0.9992,59.8877,0.4001,2.4061,1.0000,220.2000,3999.4183,3.4590,4704.7847,17.0225,0.1027,3.1722,1.0000,19.1277,0.0754,2.9728,1.0000,38.1750,0.0922,10.2143,1.0000,79.9155,0.6126,94.2000,55.9156,0.2716,5.0134,100.0000,0.0919,0.1963,8.3355,1.0000,0.1109,63.0000,4099.9534,2.4958,4868.6860,18.7347,0.0591,2.6258,1.0000,73.3702,0.0566,3.1991,0.0051,81.7889,0.1679,4.3886,1.0000,1600.4720,33.3035,100.0025,0.1713,1.9413,1.0000,11.9874,0.0606,2.1309,1.0000,49.7249,0.2210,1.0936,0.9995,4470.9409,26.9,67.5,23.5,56.0
