日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽质量流量均值,sirox增温增湿sirox蒸汽质量流量SD,sirox增温增湿sirox蒸汽体积流量均值,sirox增温增湿sirox蒸汽体积流量SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox蒸汽喷射蒸汽压力均值,sirox增温增湿sirox蒸汽喷射蒸汽压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝热风风机频率,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝排潮负压均值,kld烘丝排潮负压SD,kld烘丝筒壁温度均值,kld烘丝筒壁温度SD,kld烘丝筒壁温度CPK,kld烘丝筒壁温度合格率,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2020-01-02,利群(新版)烟丝,001 ,3999.6191,19.2343,3976.7747,19.6054,0.8210,59.9163,0.7942,1.2240,0.9998,62.7987,0.5218,1.7880,1.0000,239.5000,4199.9250,3.6173,4757.6323,17.8139,0.1470,0.4221,0.8973,18.9250,0.0881,2.5554,1.0000,37.3273,0.2656,2.9208,1.0000,83.9960,0.0919,95.2500,56.0538,0.5066,1.2804,100.0000,0.0476,0.0390,42.3150,1.0000,0.1023,18.0000,3999.7785,1.7126,4743.5693,18.3988,0.0524,2.5353,1.0000,35.3669,0.0178,420.0047,0.2487,132.4833,0.0929,5.0347,0.0015,1.2238,0.0022,82.7710,0.1429,6.4629,1.0000,0.3200,0.0012,0.0000,66.0623,0.5599,57.4894,0.3979,-20.1027,1.5246,132.6146,0.3328,2.3891,100.0000,100.0048,0.1449,2.2899,1.0000,12.1917,0.1153,1.4217,1.0000,59.1136,0.3984,0.0951,0.6122,4302.5972,26.9,68.0,23.3,59.9
2020-01-02,利群(新版)烟丝,002 ,3999.1032,5.4765,3980.0203,19.4667,0.9394,59.7085,0.6557,1.3768,1.0000,63.0387,0.3121,3.1627,1.0000,239.7000,4200.4371,3.6984,4759.2710,17.5701,0.1341,1.0688,0.9993,19.0800,0.1291,1.3424,1.0000,35.2777,0.5410,0.1711,0.6961,83.9233,0.5011,95.3000,55.8761,0.6396,1.1069,100.0000,0.0805,0.1957,8.3813,1.0000,0.1204,32.2000,3999.7328,1.6647,4739.0527,18.4760,0.0475,3.3404,1.0000,36.0625,0.1778,419.9774,0.3249,138.3586,1.5949,4.7588,0.0710,1.2388,0.0028,81.9315,0.1995,3.2264,1.0000,0.3199,0.0013,0.0000,66.2515,0.4985,57.7223,0.3174,-20.1574,1.2808,135.4170,0.5037,0.0000,17.7966,99.9990,0.2033,1.6381,1.0000,12.2323,0.1181,1.3201,1.0000,58.5000,0.6491,0.0000,0.2205,4313.6587,27.0,68.1,23.0,60.1
2020-01-02,利群(新版)烟丝,003 ,4000.4638,5.3484,3977.6777,19.5991,0.9380,60.0668,0.5294,1.8469,1.0000,62.7758,0.2587,3.5762,1.0000,239.6000,4199.9242,3.5483,4758.4453,17.6183,0.1266,1.0047,0.9987,19.0233,0.0964,1.9947,1.0000,36.1390,0.0781,4.8593,1.0000,83.9869,0.2006,95.3000,55.0114,0.2405,4.1430,100.0000,0.0803,0.0947,17.3257,1.0000,0.1377,32.9000,3999.9168,1.7175,4755.3799,18.3290,0.0500,2.1955,1.0000,35.8930,0.0948,419.9942,0.3181,135.9160,0.7950,4.8681,0.0366,1.2718,0.0033,82.3983,0.2422,3.3005,1.0000,0.3200,0.0012,0.0000,66.9627,0.6050,57.6728,0.4212,-20.2270,1.3014,133.2637,0.6306,0.9178,93.2773,99.9831,0.1627,2.0142,1.0000,12.0937,0.1194,1.0994,0.9995,58.8860,0.3959,0.0000,0.3867,4316.6470,26.7,68.1,23.2,58.4
2020-01-02,利群(新版)烟丝,004 ,4000.1648,4.9128,3978.5378,19.3744,0.8760,59.2236,0.8729,0.8492,0.9946,62.8162,0.3041,3.0871,1.0000,239.6000,4199.5960,3.4541,4756.6606,17.5487,0.1203,1.2507,0.9999,18.8967,0.1158,2.0247,1.0000,38.1442,0.2302,4.1354,1.0000,83.9797,0.2695,95.2500,55.4070,0.7123,1.2134,100.0000,0.0272,0.0353,47.0035,1.0000,0.1228,40.9000,3998.7707,13.0807,4821.1616,17.9612,0.5468,0.0000,0.4430,35.2987,0.0249,420.0303,0.2674,132.2969,0.1820,5.0442,0.0066,1.2467,0.0023,82.6129,0.3245,2.6840,1.0000,0.3201,0.0015,0.0000,66.1158,0.7906,57.5168,0.4698,-20.2541,2.1520,130.5755,0.0616,8.5312,100.0000,99.9994,0.1922,1.7330,1.0000,11.9026,0.5047,0.1338,0.5989,58.8762,0.4316,0.0000,0.3872,4380.4028,26.8,68.1,23.2,57.9
2020-01-02,利群(新版)烟丝,005 ,4000.2467,5.5372,3978.7168,19.3773,0.8238,60.0507,0.4329,2.2711,1.0000,62.9709,0.2430,4.0750,1.0000,239.6000,4199.8855,4.1073,4747.5601,17.5514,0.1285,1.1641,0.9998,18.8434,0.1310,1.9253,1.0000,38.1650,0.0978,9.6635,1.0000,83.9960,0.1340,95.0500,55.1115,0.2429,3.9647,100.0000,0.0675,0.0965,17.0414,1.0000,0.1041,40.0000,3999.8916,1.5715,4772.7402,18.2885,0.0452,2.1262,1.0000,35.2126,0.0194,420.0098,0.3112,131.9112,0.1119,5.0618,0.0017,1.1920,0.0021,81.6558,0.3412,1.6174,1.0000,0.3199,0.0011,0.0000,67.9492,0.1449,57.2839,0.3844,-20.1212,1.4519,130.5828,0.1510,3.4930,100.0000,100.0024,0.1603,2.0749,1.0000,12.1273,0.0999,1.4250,1.0000,58.4119,0.3974,0.0000,0.0694,4347.2119,26.8,67.5,23.3,58.4
2020-01-02,利群(新版)烟丝,006 ,4003.4214,22.0941,3985.9421,19.4152,0.7950,60.0646,0.4576,2.1383,1.0000,62.9693,0.5089,1.9448,1.0000,239.9000,4199.5000,3.7092,4766.1372,17.5063,0.1475,1.1155,0.9996,18.8617,0.1066,2.3079,1.0000,38.2509,0.2150,4.2629,1.0000,84.0019,0.0853,95.4500,55.0898,0.8777,1.1052,100.0000,0.0375,0.0739,22.3803,1.0000,0.1335,40.5000,4000.0343,1.5592,4771.4561,18.3472,0.0460,2.5131,1.0000,35.2164,0.0199,420.0310,0.3077,131.9198,0.0996,5.0621,0.0018,1.1992,0.0020,81.9679,0.1951,3.3620,1.0000,0.3198,0.0011,0.0000,68.0087,0.1791,57.2228,0.3109,-20.1035,1.5364,131.9763,0.0776,12.7898,100.0000,99.9991,0.1375,2.4211,1.0000,12.1035,0.1151,1.1683,0.9998,58.7413,0.4161,0.0000,0.2671,4349.0986,26.8,67.8,23.2,58.4
2020-01-03,利群(新版)烟丝,007 ,3998.2921,38.7839,3974.4475,19.6086,0.8087,60.5030,0.4848,1.7170,1.0000,62.8978,0.5017,1.9254,1.0000,239.4000,4200.4903,4.0456,4746.1416,17.7831,0.1376,0.5255,0.9425,18.8342,0.0825,3.0941,1.0000,37.2590,0.5920,1.2720,0.9999,83.9554,0.2928,95.0000,55.5043,0.2971,2.8002,100.0000,0.0787,0.1189,13.7985,1.0000,0.0813,24.2000,3999.8623,1.5575,4744.2427,18.3016,0.0486,2.0691,1.0000,35.2174,0.0192,419.9855,0.3114,131.9222,0.1108,5.0612,0.0018,1.2001,0.0020,81.6631,0.2831,1.9582,1.0000,0.3200,0.0012,0.0000,67.6001,0.5394,57.1508,0.3427,-20.1166,1.8620,133.9967,0.4283,0.7808,100.0000,99.9973,0.1357,2.4505,1.0000,12.0655,0.1093,1.1145,0.9996,58.8664,0.3977,0.0000,0.3685,4316.4897,26.9,66.9,23.2,58.2
2020-01-03,利群(新版)烟丝,008 ,4000.4088,5.0621,3976.4216,19.5990,0.7984,60.4427,0.4656,1.8308,1.0000,62.9494,0.4017,2.4472,1.0000,239.7000,4200.2218,3.5392,4762.2104,17.7762,0.1327,0.5620,0.9541,19.0287,0.0988,1.9276,1.0000,37.3600,0.0739,10.6492,1.0000,83.9382,0.3582,95.3500,54.2765,0.6969,1.0889,100.0000,0.0653,0.1194,13.7758,1.0000,0.1111,28.0000,4000.3136,1.7171,4786.1333,18.3277,0.0575,1.8994,1.0000,35.2359,0.0205,420.0194,0.2791,131.9880,0.1049,5.0586,0.0018,1.2014,0.0019,81.2868,0.2743,1.5634,1.0000,0.3197,0.0012,0.0000,67.9517,0.2827,57.3139,0.2592,-20.0629,1.3060,134.4231,0.3799,0.5062,96.6667,99.9996,0.1217,2.7372,1.0000,12.1902,0.1012,1.6153,1.0000,58.8728,0.3738,0.0000,0.3668,4351.4170,27.0,67.6,23.2,58.4
2020-01-03,利群(新版)烟丝,009 ,4000.1785,4.9070,3973.9502,19.4661,0.8264,60.3859,0.2706,3.2201,1.0000,63.0569,0.3746,2.6189,1.0000,239.3000,4199.8742,3.6969,4762.0190,17.5865,0.1280,1.0767,0.9994,19.0224,0.1057,1.8224,1.0000,37.4542,0.2202,3.7144,1.0000,83.8985,0.4276,95.3500,56.3890,0.8527,0.6297,100.0000,0.0697,0.0891,18.4508,1.0000,0.1151,43.1000,3999.8628,1.6334,4703.8472,18.3333,0.0476,2.3349,1.0000,35.2436,0.0334,420.0102,0.2330,131.8484,0.0955,5.0649,0.0024,1.1939,0.0017,82.3511,0.3707,2.1144,1.0000,0.3198,0.0013,0.0000,67.7652,0.2997,57.4709,0.3387,-20.1110,1.5572,135.5831,0.0644,0.0000,0.0000,100.0041,0.2681,1.2384,0.9998,12.1079,0.0842,1.6147,1.0000,58.8627,0.5880,0.0000,0.4077,4291.9375,26.9,64.4,23.0,58.7
2020-01-03,利群(新版)烟丝,010 ,4000.3210,5.4342,3975.5630,19.4540,0.7514,60.4473,0.7433,1.1448,0.9997,62.8784,0.8389,1.1437,0.9996,239.4000,4200.0064,3.4448,4746.5527,17.7169,0.1388,0.6801,0.9793,19.1683,0.3929,0.3662,0.8640,37.8857,0.9330,1.0310,0.9986,83.9887,0.0978,95.0000,54.3657,0.4261,1.8509,100.0000,0.0686,0.0765,21.4907,1.0000,0.0726,31.1000,4000.0985,1.5629,4810.5811,18.5434,0.0546,2.7874,1.0000,35.3254,0.0172,420.0422,0.2935,131.9520,0.1052,5.0604,0.0016,1.1956,0.0021,82.8131,0.1644,5.7039,1.0000,0.3197,0.0012,0.0000,68.6410,0.1993,58.0102,0.2983,-20.1184,1.2922,135.7658,0.1169,0.0000,0.0000,100.0058,0.2017,1.6427,1.0000,12.1343,0.0952,1.5204,1.0000,59.7958,0.3265,0.8123,0.9926,4351.3960,26.9,67.5,23.1,58.6
