日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风风速均值,kld烘丝热风风速SD,kld烘丝风门开度均值,kld烘丝风门开度SD,kld烘丝排潮风门开度均值,kld烘丝排潮风门SD,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2019-03-01,利群(新版)烟丝,010 ,3499.7261,4.3901,4000.2739,18.5983,0.7675,48.1385,0.7116,1.3403,1.0000,59.8943,0.3644,2.6473,1.0000,220.9000,3999.7168,4.1114,4717.4927,17.0501,0.1293,2.4486,1.0000,19.1299,0.0978,2.2847,1.0000,37.8607,0.1424,6.6977,1.0000,79.9635,0.5676,94.4000,55.1604,0.5324,3.0301,100.0000,0.0950,0.2292,7.1348,1.0000,0.0532,66.0000,4100.0321,2.1078,4845.2603,18.6022,0.0484,2.7677,1.0000,73.4680,0.0589,3.2062,0.0059,81.6374,0.1912,4.1183,1.0000,1584.5234,29.6511,41.9630,0.1536,35.0000,0.0000,100.0114,0.2074,1.5892,1.0000,11.9614,0.0706,1.7052,1.0000,50.8800,0.1835,3.4150,1.0000,4444.9141,26.8,67.6,22.4,56.2
2019-03-02,利群(新版)烟丝,011 ,3499.9004,4.3265,3997.8972,18.7316,0.7380,48.1339,0.8503,1.1236,0.9995,59.9541,0.5346,1.8419,1.0000,220.5000,3999.6938,3.5054,4683.6050,17.2908,0.1051,2.2500,1.0000,19.0227,0.1470,1.7621,1.0000,38.0769,0.4702,2.0723,1.0000,79.8734,0.6685,93.7000,55.8296,0.9369,1.4838,100.0000,0.0718,0.1255,13.0898,1.0000,0.0298,54.1000,4099.9702,2.4008,4842.4624,18.5427,0.0481,2.3755,1.0000,73.2959,0.0569,3.2000,0.0052,81.5369,0.1904,4.3110,1.0000,1588.5218,27.8848,41.8465,0.1943,35.0000,0.0000,100.0099,0.2704,1.2204,0.9998,11.9257,0.0773,1.4050,1.0000,50.9014,0.1973,3.2117,1.0000,4445.7544,26.8,67.9,22.7,56.5
2019-03-02,利群(新版)烟丝,012 ,3500.0791,4.0685,3998.8374,18.5992,0.7503,48.8056,0.6043,1.2105,0.9999,60.0106,0.3508,2.8409,1.0000,220.6000,4000.0923,4.1380,4702.7886,17.2032,0.1149,2.3123,1.0000,19.0882,0.0759,3.1254,1.0000,38.0528,0.2267,4.3329,1.0000,79.8919,0.7574,94.1500,54.1491,0.6689,2.0677,100.0000,0.0788,0.1330,12.3308,1.0000,0.1002,61.1000,4100.4606,2.0917,4735.6318,18.6000,0.0585,2.2803,1.0000,73.2000,0.0277,3.2027,0.0048,80.7534,0.2627,3.4938,1.0000,1593.2298,31.4298,41.6677,0.2333,35.0000,0.0000,100.0200,0.2954,1.1057,0.9993,11.9090,0.0853,1.2072,0.9999,50.8293,0.2219,2.7473,1.0000,4357.3745,27.0,67.6,23.0,56.6
2019-03-02,利群(新版)烟丝,013 ,3500.2971,4.2650,3996.2253,18.3944,0.7663,48.9678,0.6409,1.0569,0.9992,60.0110,0.4063,2.4522,1.0000,220.4000,4000.4008,3.8189,4688.0518,16.9274,0.1126,3.1746,1.0000,19.0804,0.0799,3.0029,1.0000,38.0348,0.1721,5.7423,1.0000,79.9027,0.6096,93.8000,56.4388,0.2547,4.6606,100.0000,0.0961,0.1984,8.2390,1.0000,0.0416,72.9000,4099.8163,2.2731,4807.1685,18.5955,0.0537,2.4561,1.0000,73.2469,0.1324,3.2005,0.0062,80.9561,0.2083,4.7314,1.0000,1582.3746,29.6992,41.5069,0.2002,35.0000,0.0000,99.9893,0.2644,1.2475,0.9998,11.9521,0.0672,1.7472,1.0000,51.2092,0.2174,3.3868,1.0000,4418.6250,27.1,67.7,23.1,56.6
2019-03-02,利群(新版)烟丝,014 ,3500.4353,4.3571,4000.2207,18.3355,0.6773,49.1358,0.6393,0.9721,0.9982,60.0360,0.4330,2.2819,1.0000,220.7000,4000.2515,3.7157,4700.7588,16.8724,0.1223,3.0736,1.0000,19.1282,0.1091,2.0518,1.0000,37.7939,0.1473,6.3204,1.0000,79.9168,0.5424,94.1000,54.6245,0.4792,3.2167,100.0000,0.0819,0.1641,9.9873,1.0000,0.0902,77.8000,4100.1099,2.4474,4857.3042,18.6737,0.0529,2.9848,1.0000,73.0805,0.0250,3.1985,0.0038,80.6860,0.2864,3.1261,1.0000,1588.4421,31.3969,41.4770,0.1744,35.0000,0.0000,100.0140,0.2032,1.6176,1.0000,11.9380,0.0622,1.8106,1.0000,51.2070,0.2095,3.5118,1.0000,4453.3408,27.1,68.0,23.2,56.5
2019-03-02,利群(新版)烟丝,015 ,3500.4117,4.4909,3998.1082,18.5060,0.7037,48.7145,0.6914,1.1018,0.9995,60.0032,0.4377,2.2823,1.0000,220.4000,4000.3431,3.8056,4702.8247,17.0328,0.1195,2.6984,1.0000,19.1069,0.0838,2.7558,1.0000,37.8222,0.1108,8.4896,1.0000,79.9590,0.4230,94.1000,55.1806,0.2441,6.5803,100.0000,0.0796,0.1507,10.8812,1.0000,0.0463,70.8000,4099.9931,2.2387,4862.2988,18.6724,0.0610,2.5795,1.0000,73.0565,0.0241,3.1991,0.0035,80.9441,0.2336,4.2015,1.0000,1591.4869,34.4442,41.4270,0.2666,35.0000,0.0000,99.9980,0.3613,0.9208,0.9944,11.9343,0.0794,1.4032,1.0000,50.8788,0.3050,2.0531,1.0000,4461.2002,27.2,68.1,23.2,56.2
2019-03-02,利群(新版)烟丝,016 ,3500.5739,4.3666,3996.8496,18.4852,0.6721,48.6884,0.5112,1.5073,1.0000,60.0017,0.3286,3.0418,1.0000,220.5000,4000.4631,4.0539,4688.3823,17.0518,0.1004,3.1464,1.0000,19.1234,0.0695,3.2450,1.0000,37.7911,0.1647,5.6488,1.0000,79.8612,0.7637,93.8000,55.4826,0.7903,1.9053,100.0000,0.0976,0.1968,8.3016,1.0000,0.0345,69.0000,4100.0313,2.1005,4760.7446,18.6709,0.0545,2.8801,1.0000,73.7007,0.1340,3.2069,0.0072,81.3700,0.4411,1.9875,1.0000,1607.7792,33.7413,42.0298,0.2220,35.0000,0.0000,100.0045,0.2111,1.5722,1.0000,12.0136,0.0697,1.9771,1.0000,49.0956,0.5171,0.0616,0.5733,4334.1587,27.1,68.2,23.1,56.3
2019-03-02,利群(新版)烟丝,017 ,3500.3570,4.5338,3998.0044,18.5811,0.7445,48.5557,0.6057,1.3452,1.0000,59.8593,0.4374,2.1792,1.0000,220.6000,3999.9752,3.9443,4691.8657,17.1557,0.1042,2.7014,1.0000,19.1316,0.0673,3.3104,1.0000,37.7632,0.0981,9.3898,1.0000,79.8567,0.7022,93.9000,56.1376,0.2492,5.1654,100.0000,0.0889,0.2021,8.1011,1.0000,0.0668,64.0000,4099.9380,1.7292,4806.7993,18.7542,0.0556,2.6726,1.0000,73.4607,0.0234,3.2057,0.0038,81.8699,0.2195,3.2354,1.0000,1608.2373,32.8616,41.6492,0.2071,35.0000,0.0000,100.0079,0.2636,1.2546,0.9999,12.0049,0.0647,2.0859,1.0000,49.8162,0.2305,1.1802,0.9998,4407.4106,27.2,68.0,23.2,56.2
2019-03-02,利群(新版)烟丝,018 ,3500.0922,4.5311,3999.4778,18.3608,0.6750,48.4789,0.6537,1.2857,0.9999,59.8826,0.4362,2.2030,1.0000,220.6000,3999.9515,3.6981,4694.8960,16.9645,0.1080,3.1965,1.0000,19.1066,0.0711,3.2505,1.0000,37.7282,0.1331,6.8311,1.0000,79.9139,0.5109,93.9000,56.0515,0.9587,1.3728,100.0000,0.0886,0.1765,9.2730,1.0000,0.0022,72.7000,4099.8729,2.4906,4791.2681,18.7188,0.0534,3.0038,1.0000,73.4702,0.0697,3.2032,0.0077,81.8957,0.1989,3.5266,1.0000,1601.1349,26.6365,41.4635,0.1297,35.0000,0.0000,100.0042,0.1332,2.4925,1.0000,11.9277,0.1006,1.0860,0.9994,50.5197,0.2666,1.9001,1.0000,4386.8716,27.1,68.2,23.0,56.9
2019-03-02,利群(新版)烟丝,019 ,3499.9803,4.1401,3998.1702,16.9736,5.3833,47.2664,3.2208,0.2346,0.6360,59.9014,0.4532,2.1341,1.0000,220.6000,4000.0215,3.4753,4693.6636,16.8348,0.1078,3.6041,1.0000,19.1257,0.0737,3.0483,1.0000,37.6650,0.0908,9.7795,1.0000,79.9238,0.5681,94.0000,56.0258,0.2545,5.2053,100.0000,0.1041,0.2110,7.7355,1.0000,0.1350,76.5000,4099.9303,1.8641,4899.6758,18.6899,0.0585,2.7935,1.0000,73.4687,0.0772,3.2036,0.0068,81.9117,0.2177,3.1974,1.0000,1592.9003,30.4616,41.5158,0.1768,35.0000,0.0000,99.9919,0.1941,1.7036,1.0000,12.0173,0.0834,1.6677,1.0000,50.5738,0.2891,1.8143,1.0000,4493.1216,26.8,67.6,23.0,56.4
