日期,品牌号,批次号,松散回潮皮带秤实时流量均值,松散回潮皮带秤SD,松散回潮皮带秤累计值,松散回潮出口水分均值,松散回潮出口水分SD,松散回潮出口温度均值,松散回潮出口温度SD,松散回潮出口温度CPK,松散回潮出口温度P,松散回潮回风温度均值,松散回潮回风温度SD,松散回潮回风温度CPK,松散回潮回风温度P值,松散回潮累计加水量,润叶加料皮带秤实时流量均值,润叶加料皮带秤SD,润叶加料皮带秤累计值,润叶加料入口水分均值,润叶加料入口水分SD,润叶加料入口水分CPK,润叶加料入口水分P,润叶加料出口水分均值,润叶加料出口水分SD,润叶加料出口水分CPK,润叶加料出口水分P,润叶加料出口温度均值,润叶加料出口温度SD,润叶加料出口温度CPK,润叶加料出口温度P,润叶加料料液流量实时流量均值,润叶加料料液流量流量SD,润叶加料料液流量累计加料量,润叶加料料液温度均值,润叶加料料液温度SD,润叶加料料液温度CPK,润叶加料料液温度P,润叶加料瞬时精度均值,润叶加料瞬时精度SD,润叶加料瞬时精度CPK,润叶加料瞬时精度P,润叶加料累计精度,润叶加料累计加水量,sirox增温增湿皮带秤实时流量均值,sirox增温增湿皮带秤SD,sirox增温增湿皮带秤累计值,sirox增温增湿sirox入口水分均值,sirox增温增湿sirox入口水分SD,sirox增温增湿sirox入口水分CPK,sirox增温增湿sirox入口水分P,sirox增温增湿sirox蒸汽薄膜阀开度均值,sirox增温增湿sirox蒸汽阀门开度SD,sirox增温增湿sirox蒸汽减压阀后压力均值,sirox增温增湿sirox蒸汽减压阀后压力SD,sirox增温增湿sirox出口温度均值,sirox增温增湿sirox出口温度SD,sirox增温增湿sirox出口温度CPK,sirox增温增湿sirox出口温度P,kld烘丝热风温度均值,kld烘丝热风温度SD,kld烘丝热风温度CPK,kld烘丝热风温度P,kld烘丝烘后水分均值,kld烘丝烘后水分SD,kld烘丝烘后水分CPK,kld烘丝烘后水分P,kld烘丝烘后温度均值,kld烘丝烘后温度SD,kld烘丝烘后温度CPK,kld烘丝烘后温度P,叶丝重量,储叶房温度,储叶房湿度,储丝房温度,储丝房湿度
2018-07-01,利群(新版)烟丝,001 ,3500.3343,4.1616,3999.9248,18.0493,0.9985,51.0553,0.4819,0.0000,0.4543,59.9938,0.3550,2.8109,1.0000,220.5000,4000.0031,3.1213,4687.3169,16.6397,0.1121,4.0436,1.0000,19.0838,0.1645,1.4517,1.0000,38.1376,0.2389,3.9933,1.0000,79.9775,0.4632,93.7500,55.6573,0.1438,10.0678,100.0000,0.0740,0.0784,20.9337,1.0000,0.0039,114.0000,4100.0336,2.0505,4856.8062,18.7953,0.0634,2.1277,1.0000,73.3264,0.1318,3.1988,0.0139,81.1657,0.1777,5.3157,1.0000,99.9908,0.1655,1.9949,1.0000,12.5842,0.0557,0.0944,0.6115,58.3688,0.2721,0.0000,0.0000,4452.3325,27.0,68.0,23.0,60.2
2018-07-01,利群(新版)烟丝,002 ,3500.5601,8.3932,3990.0300,17.9962,0.9539,51.2828,0.3709,0.0000,0.2229,60.0004,0.2848,3.5103,1.0000,220.1000,3999.6543,3.0942,4684.3237,16.6985,0.1044,4.1553,1.0000,19.1554,0.1631,1.3171,1.0000,37.9100,0.1523,6.3671,1.0000,80.0022,0.4647,93.6500,54.0086,0.4446,3.0053,100.0000,0.0786,0.0841,19.5027,1.0000,0.0389,110.7000,4099.8618,1.6818,4830.9600,18.6318,0.0534,2.6939,1.0000,73.3139,0.1285,3.1998,0.0140,80.9204,0.1521,6.3988,1.0000,100.0255,0.1411,2.3020,1.0000,12.4710,0.0595,0.7228,0.9849,57.9412,0.2250,0.0000,0.0000,4435.4429,27.1,67.7,23.0,60.4
2018-07-01,利群(新版)烟丝,003 ,3499.8086,3.8258,4000.1001,17.8978,0.8779,51.3065,0.4768,0.0000,0.2602,60.0189,0.2980,3.3344,1.0000,220.4000,4000.0500,2.9615,4683.1650,16.7604,0.1053,3.9225,1.0000,19.2179,0.1589,1.2214,0.9999,38.0559,0.3974,2.4692,1.0000,79.9351,0.4637,93.7500,56.4879,0.5064,2.3120,100.0000,0.0692,0.0896,18.3417,1.0000,0.0926,111.7000,4100.1256,1.8002,4774.0781,18.5538,0.0607,1.9445,1.0000,73.4429,0.0292,3.2039,0.0028,81.2424,0.1998,4.6017,1.0000,99.9673,0.0846,3.8108,1.0000,12.2991,0.0660,1.5196,1.0000,54.9572,0.2490,0.0573,0.5683,4364.3525,27.1,67.7,23.1,60.0
2018-07-01,利群(新版)烟丝,004 ,3500.3869,3.6573,3995.3799,18.0143,0.9393,51.3332,0.5614,0.0000,0.2765,59.9854,0.2859,3.4805,1.0000,220.2000,3999.7323,2.8775,4685.7793,16.7474,0.1178,3.5449,1.0000,19.0690,0.1296,1.8809,1.0000,38.3172,0.3155,2.8348,1.0000,79.9262,0.6005,93.7500,54.5905,0.6121,2.4998,100.0000,0.0705,0.0761,21.5967,1.0000,0.0367,113.9000,4099.6308,1.8949,4828.7056,18.4815,0.0564,1.6645,1.0000,73.3306,0.0000,3.1973,0.0028,81.4169,0.1548,5.5622,1.0000,99.9899,0.1073,3.0763,1.0000,12.3847,0.0477,1.5049,1.0000,55.5609,0.2512,0.0000,0.0128,4425.6123,27.1,67.6,23.0,60.1
2018-07-02,利群(新版)烟丝,005 ,3499.9365,3.8946,3983.2383,18.1272,0.9743,51.3520,0.4952,0.0000,0.2386,60.0752,0.3949,2.4688,1.0000,219.5000,4000.4761,3.3646,4663.7266,16.6016,0.1038,4.4899,1.0000,19.2421,0.1830,1.0160,0.9988,37.6739,0.1074,8.2979,1.0000,79.9410,0.6373,93.2500,55.0189,0.0968,17.1477,100.0000,0.0663,0.0866,18.9920,1.0000,0.0263,113.6000,4099.8069,1.9543,4873.2388,18.6218,0.0596,2.3580,1.0000,73.2339,0.1263,3.1989,0.0134,81.0362,0.2248,4.3946,1.0000,100.0326,0.1392,2.3158,1.0000,12.2718,0.1023,1.0692,0.9993,54.8363,0.4978,0.1096,0.6289,4454.8149,27.2,68.3,23.0,60.0
2018-07-02,利群(新版)烟丝,006 ,3500.4966,4.1171,3985.2253,17.7371,0.8638,50.3872,0.6508,0.3139,0.8268,59.9212,0.3740,2.6039,1.0000,220.2000,3999.7163,3.0238,4670.7305,16.6980,0.1049,4.1377,1.0000,19.2040,0.1317,1.5082,1.0000,37.9343,0.6423,1.5227,1.0000,79.9895,0.6128,93.4500,54.4638,0.4209,3.5354,100.0000,0.0709,0.0824,19.9424,1.0000,0.0379,106.6000,4100.0380,2.1702,4787.3506,18.5088,0.0806,1.2779,0.9999,73.4918,0.2012,3.2180,0.0356,81.1003,0.4300,2.2480,1.0000,100.0214,0.1472,2.2165,1.0000,12.1329,0.0970,1.6058,1.0000,53.4697,0.6433,0.7930,0.9913,4369.7637,27.2,67.4,23.1,59.9
2018-07-02,利群(新版)烟丝,007 ,3499.8362,3.2498,3996.1250,17.5806,0.9359,50.7546,0.3940,0.2076,0.7333,59.9838,0.2764,3.5982,1.0000,220.2000,3999.7566,3.1758,4672.5737,16.5860,0.1029,4.5789,1.0000,19.1986,0.1519,1.3193,1.0000,38.2050,0.0776,12.0104,1.0000,79.9702,0.4805,93.5500,55.6352,0.1799,8.0854,100.0000,0.0701,0.0868,18.9398,1.0000,0.1054,114.8000,4099.8382,1.8523,4845.6230,18.6445,0.0652,2.2729,1.0000,73.5450,0.2739,3.2490,0.0414,81.6335,0.2395,3.2932,1.0000,100.0000,0.1316,2.5333,1.0000,12.0794,0.1917,0.8334,0.9905,53.7643,0.6804,0.6053,0.9653,4421.7139,27.1,68.0,23.0,60.1
2018-07-02,利群(新版)烟丝,008 ,3499.9041,4.3098,3990.6504,17.6769,0.8709,50.8656,0.4691,0.0955,0.6128,59.9658,0.3587,2.7564,1.0000,219.9000,4000.2791,2.9748,4673.8687,16.5993,0.0957,4.8797,1.0000,19.3023,0.1628,1.0192,0.9989,37.9573,0.1720,5.7311,1.0000,79.9669,0.1634,93.5000,53.8957,0.2222,5.8444,100.0000,0.0799,0.0983,16.6796,1.0000,0.0242,117.6000,4099.9054,1.9870,4803.1670,18.5876,0.0678,1.9050,1.0000,73.3284,0.1282,3.2022,0.0131,81.2160,0.2190,4.2370,1.0000,99.9997,0.1383,2.4101,1.0000,12.3297,0.0750,1.2015,0.9998,56.1115,0.4075,0.0000,0.0032,4394.7578,27.2,68.0,23.1,59.9
2018-07-03,利群(新版)烟丝,009 ,3499.5580,4.0178,3983.7971,17.5415,0.8750,50.5891,0.4578,0.2992,0.8153,60.0314,0.3217,3.0761,1.0000,219.9000,4000.0937,3.7258,4665.4863,16.6295,0.1041,4.3904,1.0000,19.3266,0.2318,0.6808,0.9795,38.3208,0.2300,3.8825,1.0000,80.0351,0.4007,93.3500,56.6901,0.2179,5.0626,100.0000,0.0448,0.0488,33.8805,1.0000,0.0432,115.1000,4099.8847,2.2909,4852.5498,18.6347,0.0587,2.4663,1.0000,73.3148,0.0200,3.2064,0.0041,81.2481,0.1481,6.1942,1.0000,99.9959,0.1123,2.9572,1.0000,12.3277,0.0557,1.6294,1.0000,56.3076,0.3260,0.0000,0.0000,4445.7329,27.0,68.9,22.9,59.9
2018-07-03,利群(新版)烟丝,010 ,3500.0287,3.8026,3994.9753,17.7214,0.8757,50.6167,0.5416,0.2359,0.7605,59.8933,0.3508,2.7489,1.0000,220.3000,4000.0287,3.4300,4674.1797,16.5940,0.0900,5.2070,1.0000,19.2675,0.2329,0.7623,0.9889,38.5401,0.2167,3.7835,1.0000,79.9550,0.5553,93.4500,55.2059,0.1497,10.6740,100.0000,0.0469,0.0666,24.7722,1.0000,0.0359,115.6000,4099.7892,1.8232,4805.6152,18.4883,0.0500,1.9217,1.0000,73.2319,0.0562,3.2031,0.0054,80.7375,0.3088,2.9546,1.0000,100.0246,0.1070,3.0393,1.0000,12.2877,0.0614,1.6955,1.0000,54.2740,0.3300,0.7333,0.9861,4396.1553,27.1,67.8,22.8,60.1
